Washington, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,1.19,-0.76
195109,2.11,0.16
195209,0.59,-1.36
195309,1.77,-0.18
195409,1.95,0.00
195509,1.80,-0.15
195609,2.17,0.22
195709,0.90,-1.05
195809,1.88,-0.07
195909,5.00,3.05
196009,1.17,-0.78
196109,1.31,-0.64
196209,2.28,0.33
196309,1.45,-0.50
196409,2.14,0.19
196509,0.74,-1.21
196609,1.54,-0.41
196709,1.21,-0.74
196809,2.44,0.49
196909,3.88,1.93
197009,2.45,0.50
197109,2.97,1.02
197209,3.39,1.44
197309,2.45,0.50
197409,0.51,-1.44
197509,0.10,-1.85
197609,0.81,-1.14
197709,3.16,1.21
197809,3.88,1.93
197909,2.03,0.08
198009,2.51,0.56
198109,2.69,0.74
198209,2.49,0.54
198309,2.15,0.20
198409,2.09,0.14
198509,2.76,0.81
198609,3.09,1.14
198709,0.51,-1.44
198809,2.17,0.22
198909,0.35,-1.60
199009,0.21,-1.74
199109,0.23,-1.72
199209,2.15,0.20
199309,0.34,-1.61
199409,1.37,-0.58
199509,1.93,-0.02
199609,2.12,0.17
199709,3.88,1.93
199809,0.66,-1.29
199909,0.36,-1.59
200009,1.97,0.02
200109,0.79,-1.16
200209,0.79,-1.16
200309,1.23,-0.72
200409,2.81,0.86
200509,1.59,-0.36
200609,1.17,-0.78
200709,1.43,-0.52
200809,0.65,-1.30
200909,1.65,-0.30
201009,3.46,1.51
201109,1.29,-0.66
201209,0.16,-1.79
201309,5.60,3.65
201409,1.79,-0.16
201509,1.50,-0.45
201609,1.67,-0.28
201709,1.35,-0.60
201809,1.59,-0.36
201909,3.62,1.67
202009,2.42,0.47
202109,3.12,1.17
