Connecticut, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,1.51,-2.48
195109,2.23,-1.76
195209,3.40,-0.59
195309,1.63,-2.36
195409,7.98,3.99
195509,3.78,-0.21
195609,4.86,0.87
195709,2.19,-1.80
195809,5.35,1.36
195909,1.89,-2.10
196009,7.69,3.70
196109,4.58,0.59
196209,3.28,-0.71
196309,3.87,-0.12
196409,1.87,-2.12
196509,2.68,-1.31
196609,5.65,1.66
196709,2.85,-1.14
196809,3.07,-0.92
196909,4.54,0.55
197009,3.50,-0.49
197109,5.00,1.01
197209,2.59,-1.40
197309,3.82,-0.17
197409,7.95,3.96
197509,8.55,4.56
197609,2.61,-1.38
197709,7.73,3.74
197809,3.14,-0.85
197909,4.98,0.99
198009,1.72,-2.27
198109,4.02,0.03
198209,2.64,-1.35
198309,1.83,-2.16
198409,1.81,-2.18
198509,4.59,0.60
198609,1.06,-2.93
198709,5.68,1.69
198809,2.52,-1.47
198909,4.61,0.62
199009,2.02,-1.97
199109,6.04,2.05
199209,3.52,-0.47
199309,5.99,2.00
199409,4.59,0.60
199509,3.63,-0.36
199609,6.29,2.30
199709,1.45,-2.54
199809,2.83,-1.16
199909,10.39,6.40
200009,4.14,0.15
200109,3.93,-0.06
200209,4.82,0.83
200309,7.70,3.71
200409,8.39,4.40
200509,2.39,-1.60
200609,3.00,-0.99
200709,1.79,-2.20
200809,9.06,5.07
200909,1.98,-2.01
201009,2.62,-1.37
201109,7.78,3.79
201209,5.41,1.42
201309,2.84,-1.15
201409,1.39,-2.60
201509,3.62,-0.37
201609,1.92,-2.07
201709,2.30,-1.69
201809,8.56,4.57
201909,1.86,-2.13
202009,2.16,-1.83
202109,8.19,4.20
