Wyoming, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.64,-0.33
195102,0.77,-0.20
195202,1.14,0.17
195302,1.24,0.27
195402,0.58,-0.39
195502,1.40,0.43
195602,0.64,-0.33
195702,0.71,-0.26
195802,0.88,-0.09
195902,1.25,0.28
196002,1.14,0.17
196102,1.01,0.04
196202,1.42,0.45
196302,0.94,-0.03
196402,0.87,-0.10
196502,0.65,-0.32
196602,0.66,-0.31
196702,0.91,-0.06
196802,0.90,-0.07
196902,0.92,-0.05
197002,0.39,-0.58
197102,1.06,0.09
197202,0.79,-0.18
197302,0.58,-0.39
197402,0.62,-0.35
197502,0.88,-0.09
197602,1.17,0.20
197702,0.39,-0.58
197802,1.38,0.41
197902,0.79,-0.18
198002,0.89,-0.08
198102,0.61,-0.36
198202,0.66,-0.31
198302,0.72,-0.25
198402,0.66,-0.31
198502,0.70,-0.27
198602,2.29,1.32
198702,1.06,0.09
198802,0.72,-0.25
198902,1.17,0.20
199002,0.69,-0.28
199102,0.54,-0.43
199202,0.53,-0.44
199302,1.08,0.11
199402,1.24,0.27
199502,0.92,-0.05
199602,0.78,-0.19
199702,0.85,-0.12
199802,0.90,-0.07
199902,1.17,0.20
200002,1.18,0.21
200102,0.92,-0.05
200202,0.51,-0.46
200302,1.11,0.14
200402,1.07,0.10
200502,0.55,-0.42
200602,0.80,-0.17
200702,0.90,-0.07
200802,0.96,-0.01
200902,0.64,-0.33
201002,0.58,-0.39
201102,1.03,0.06
201202,1.29,0.32
201302,0.79,-0.18
201402,1.70,0.73
201502,0.94,-0.03
201602,0.80,-0.17
201702,2.02,1.05
201802,1.22,0.25
201902,1.40,0.43
202002,1.21,0.24
202102,1.29,0.32
