Arkansas, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,46.2,-3.7
195111,44.0,-5.9
195211,48.5,-1.4
195311,48.6,-1.3
195411,49.6,-0.3
195511,48.4,-1.5
195611,48.6,-1.3
195711,49.0,-0.9
195811,52.0,2.1
195911,45.0,-4.9
196011,50.4,0.5
196111,48.8,-1.1
196211,48.8,-1.1
196311,52.0,2.1
196411,53.4,3.5
196511,55.5,5.6
196611,53.4,3.5
196711,48.2,-1.7
196811,47.9,-2.0
196911,48.1,-1.8
197011,47.9,-2.0
197111,49.6,-0.3
197211,44.8,-5.1
197311,54.4,4.5
197411,50.1,0.2
197511,50.7,0.8
197611,42.7,-7.2
197711,51.6,1.7
197811,53.1,3.2
197911,47.1,-2.8
198011,48.6,-1.3
198111,52.0,2.1
198211,50.3,0.4
198311,51.0,1.1
198411,48.7,-1.2
198511,54.2,4.3
198611,48.5,-1.4
198711,51.6,1.7
198811,51.4,1.5
198911,52.5,2.6
199011,54.7,4.8
199111,46.6,-3.3
199211,48.2,-1.7
199311,46.0,-3.9
199411,54.2,4.3
199511,47.8,-2.1
199611,46.6,-3.3
199711,47.1,-2.8
199811,53.7,3.8
199911,55.8,5.9
200011,46.8,-3.1
200111,55.0,5.1
200211,48.2,-1.7
200311,54.6,4.7
200411,54.1,4.2
200511,54.0,4.1
200611,51.5,1.6
200711,52.5,2.6
200811,48.9,-1.0
200911,54.0,4.1
201011,52.0,2.1
201111,53.4,3.5
201211,50.2,0.3
201311,47.5,-2.4
201411,44.9,-5.0
201511,54.2,4.3
201611,55.7,5.8
201711,53.7,3.8
201811,45.8,-4.1
201911,46.4,-3.5
202011,54.0,4.1
202111,49.4,-0.5
