New Mexico, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,62.7,-1.8
195109,65.9,1.4
195209,64.9,0.4
195309,65.8,1.3
195409,67.3,2.8
195509,66.0,1.5
195609,67.2,2.7
195709,63.3,-1.2
195809,64.6,0.1
195909,64.7,0.2
196009,66.0,1.5
196109,62.1,-2.4
196209,65.2,0.7
196309,66.3,1.8
196409,64.3,-0.2
196509,62.7,-1.8
196609,64.3,-0.2
196709,63.2,-1.3
196809,62.6,-1.9
196909,64.9,0.4
197009,63.5,-1.0
197109,62.8,-1.7
197209,63.7,-0.8
197309,63.4,-1.1
197409,61.2,-3.3
197509,61.7,-2.8
197609,63.1,-1.4
197709,66.8,2.3
197809,63.6,-0.9
197909,65.2,0.7
198009,65.4,0.9
198109,64.4,-0.1
198209,65.4,0.9
198309,67.8,3.3
198409,64.0,-0.5
198509,62.5,-2.0
198609,63.0,-1.5
198709,62.8,-1.7
198809,62.5,-2.0
198909,64.0,-0.5
199009,65.8,1.3
199109,62.5,-2.0
199209,65.3,0.8
199309,63.6,-0.9
199409,65.4,0.9
199509,65.0,0.5
199609,62.3,-2.2
199709,67.9,3.4
199809,68.9,4.4
199909,64.4,-0.1
200009,68.0,3.5
200109,66.7,2.2
200209,65.4,0.9
200309,66.0,1.5
200409,63.9,-0.6
200509,67.3,2.8
200609,60.9,-3.6
200709,67.0,2.5
200809,63.7,-0.8
200909,63.9,-0.6
201009,68.3,3.8
201109,66.3,1.8
201209,66.2,1.7
201309,66.0,1.5
201409,66.5,2.0
201509,69.0,4.5
201609,65.9,1.4
201709,66.4,1.9
201809,66.9,2.4
201909,69.0,4.5
202009,65.0,0.5
202109,68.3,3.8
