Nebraska, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,33.9,-2.0
195111,32.8,-3.1
195211,33.0,-2.9
195311,38.7,2.8
195411,41.3,5.4
195511,29.4,-6.5
195611,35.1,-0.8
195711,34.7,-1.2
195811,37.5,1.6
195911,30.6,-5.3
196011,37.4,1.5
196111,34.1,-1.8
196211,39.5,3.6
196311,39.7,3.8
196411,36.6,0.7
196511,39.2,3.3
196611,36.2,0.3
196711,35.2,-0.7
196811,35.1,-0.8
196911,38.3,2.4
197011,35.3,-0.6
197111,37.4,1.5
197211,31.6,-4.3
197311,35.8,-0.1
197411,37.0,1.1
197511,34.4,-1.5
197611,31.6,-4.3
197711,36.2,0.3
197811,33.6,-2.3
197911,31.6,-4.3
198011,39.5,3.6
198111,40.6,4.7
198211,33.4,-2.5
198311,36.7,0.8
198411,37.5,1.6
198511,24.6,-11.3
198611,34.2,-1.7
198711,39.7,3.8
198811,38.4,2.5
198911,37.2,1.3
199011,40.2,4.3
199111,30.5,-5.4
199211,32.3,-3.6
199311,31.8,-4.1
199411,37.6,1.7
199511,36.0,0.1
199611,30.0,-5.9
199711,34.6,-1.3
199811,40.6,4.7
199911,45.0,9.1
200011,28.2,-7.7
200111,43.9,8.0
200211,37.1,1.2
200311,34.7,-1.2
200411,38.7,2.8
200511,41.1,5.2
200611,37.6,1.7
200711,39.5,3.6
200811,38.9,3.0
200911,42.2,6.3
201011,36.7,0.8
201111,38.2,2.3
201211,40.0,4.1
201311,36.0,0.1
201411,32.2,-3.7
201511,40.1,4.2
201611,44.3,8.4
201711,39.9,4.0
201811,33.5,-2.4
201911,35.2,-0.7
202011,42.6,6.7
202111,42.6,6.7
