Oklahoma, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,37.8,-1.1
195112,39.8,0.9
195212,38.0,-0.9
195312,39.2,0.3
195412,41.4,2.5
195512,38.3,-0.6
195612,42.4,3.5
195712,44.4,5.5
195812,37.1,-1.8
195912,43.0,4.1
196012,36.7,-2.2
196112,36.5,-2.4
196212,40.2,1.3
196312,32.1,-6.8
196412,38.2,-0.7
196512,45.1,6.2
196612,36.9,-2.0
196712,38.7,-0.2
196812,36.6,-2.3
196912,39.8,0.9
197012,43.3,4.4
197112,41.9,3.0
197212,34.0,-4.9
197312,39.2,0.3
197412,38.5,-0.4
197512,40.8,1.9
197612,37.9,-1.0
197712,39.8,0.9
197812,37.1,-1.8
197912,41.5,2.6
198012,42.0,3.1
198112,39.1,0.2
198212,41.5,2.6
198312,25.7,-13.2
198412,43.2,4.3
198512,34.4,-4.5
198612,39.5,0.6
198712,39.0,0.1
198812,41.8,2.9
198912,31.0,-7.9
199012,35.8,-3.1
199112,42.6,3.7
199212,39.2,0.3
199312,41.6,2.7
199412,42.3,3.4
199512,39.2,0.3
199612,41.1,2.2
199712,38.3,-0.6
199812,40.6,1.7
199912,42.7,3.8
200012,30.9,-8.0
200112,42.7,3.8
200212,40.4,1.5
200312,42.2,3.3
200412,41.5,2.6
200512,38.3,-0.6
200612,41.6,2.7
200712,38.2,-0.7
200812,38.6,-0.3
200912,34.6,-4.3
201012,39.5,0.6
201112,39.9,1.0
201212,42.2,3.3
201312,35.2,-3.7
201412,41.8,2.9
201512,44.6,5.7
201612,38.8,-0.1
201712,40.5,1.6
201812,40.8,1.9
201912,43.2,4.3
202012,41.0,2.1
202112,50.4,11.5
