Pennsylvania, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,30.8,-5.0
195103,36.1,0.3
195203,34.6,-1.2
195303,37.8,2.0
195403,35.0,-0.8
195503,37.2,1.4
195603,32.9,-2.9
195703,36.1,0.3
195803,33.7,-2.1
195903,34.1,-1.7
196003,24.5,-11.3
196103,37.1,1.3
196203,34.2,-1.6
196303,37.5,1.7
196403,36.9,1.1
196503,32.1,-3.7
196603,37.5,1.7
196703,34.4,-1.4
196803,38.4,2.6
196903,32.7,-3.1
197003,31.6,-4.2
197103,32.5,-3.3
197203,33.1,-2.7
197303,42.8,7.0
197403,36.9,1.1
197503,33.7,-2.1
197603,40.8,5.0
197703,41.2,5.4
197803,31.9,-3.9
197903,39.4,3.6
198003,33.3,-2.5
198103,34.0,-1.8
198203,34.9,-0.9
198303,38.7,2.9
198403,29.5,-6.3
198503,38.3,2.5
198603,38.0,2.2
198703,39.0,3.2
198803,37.2,1.4
198903,36.7,0.9
199003,40.2,4.4
199103,39.4,3.6
199203,34.4,-1.4
199303,32.8,-3.0
199403,33.8,-2.0
199503,39.7,3.9
199603,31.8,-4.0
199703,37.6,1.8
199803,39.6,3.8
199903,34.2,-1.6
200003,42.6,6.8
200103,33.3,-2.5
200203,38.2,2.4
200303,37.2,1.4
200403,39.5,3.7
200503,32.3,-3.5
200603,37.0,1.2
200703,37.4,1.6
200803,35.6,-0.2
200903,38.2,2.4
201003,42.0,6.2
201103,36.3,0.5
201203,47.7,11.9
201303,33.8,-2.0
201403,30.3,-5.5
201503,31.6,-4.2
201603,43.3,7.5
201703,35.3,-0.5
201803,33.0,-2.8
201903,34.7,-1.1
202003,42.5,6.7
202103,40.7,4.9
