Oklahoma, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,46.2,-2.2
195111,42.9,-5.5
195211,46.9,-1.5
195311,48.4,0.0
195411,50.5,2.1
195511,46.2,-2.2
195611,46.6,-1.8
195711,45.5,-2.9
195811,50.8,2.4
195911,43.1,-5.3
196011,50.3,1.9
196111,45.8,-2.6
196211,48.6,0.2
196311,50.8,2.4
196411,50.7,2.3
196511,54.1,5.7
196611,52.6,4.2
196711,47.1,-1.3
196811,45.8,-2.6
196911,47.8,-0.6
197011,46.2,-2.2
197111,49.1,0.7
197211,41.9,-6.5
197311,52.0,3.6
197411,48.2,-0.2
197511,49.3,0.9
197611,42.6,-5.8
197711,50.1,1.7
197811,49.6,1.2
197911,44.8,-3.6
198011,48.3,-0.1
198111,50.2,1.8
198211,48.1,-0.3
198311,50.4,2.0
198411,48.7,0.3
198511,46.8,-1.6
198611,44.9,-3.5
198711,49.6,1.2
198811,50.1,1.7
198911,50.6,2.2
199011,53.4,5.0
199111,44.0,-4.4
199211,45.6,-2.8
199311,43.9,-4.5
199411,50.0,1.6
199511,49.0,0.6
199611,45.7,-2.7
199711,45.9,-2.5
199811,52.4,4.0
199911,56.1,7.7
200011,43.3,-5.1
200111,54.0,5.6
200211,47.2,-1.2
200311,50.3,1.9
200411,50.3,1.9
200511,52.5,4.1
200611,50.8,2.4
200711,50.9,2.5
200811,50.2,1.8
200911,53.6,5.2
201011,50.4,2.0
201111,50.0,1.6
201211,52.2,3.8
201311,46.6,-1.8
201411,44.4,-4.0
201511,51.4,3.0
201611,55.4,7.0
201711,52.9,4.5
201811,44.5,-3.9
201911,46.2,-2.2
202011,53.5,5.1
202111,51.2,2.8
