Florida, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,80.6,-0.5
195108,82.7,1.6
195208,81.2,0.1
195308,80.7,-0.4
195408,82.9,1.8
195508,81.8,0.7
195608,81.6,0.5
195708,80.6,-0.5
195808,81.4,0.3
195908,80.8,-0.3
196008,81.0,-0.1
196108,80.6,-0.5
196208,81.3,0.2
196308,81.8,0.7
196408,81.0,-0.1
196508,80.6,-0.5
196608,80.6,-0.5
196708,79.7,-1.4
196808,81.1,0.0
196908,80.2,-0.9
197008,81.2,0.1
197108,80.6,-0.5
197208,80.9,-0.2
197308,80.4,-0.7
197408,80.5,-0.6
197508,80.9,-0.2
197608,80.5,-0.6
197708,81.0,-0.1
197808,81.1,0.0
197908,81.0,-0.1
198008,82.2,1.1
198108,80.9,-0.2
198208,81.2,0.1
198308,82.2,1.1
198408,80.9,-0.2
198508,81.2,0.1
198608,81.2,0.1
198708,82.9,1.8
198808,81.6,0.5
198908,81.7,0.6
199008,82.2,1.1
199108,81.7,0.6
199208,80.6,-0.5
199308,82.2,1.1
199408,80.2,-0.9
199508,82.4,1.3
199608,80.6,-0.5
199708,81.5,0.4
199808,82.7,1.6
199908,83.1,2.0
200008,81.7,0.6
200108,81.4,0.3
200208,81.1,0.0
200308,81.1,0.0
200408,81.4,0.3
200508,83.2,2.1
200608,82.8,1.7
200708,83.7,2.6
200808,81.3,0.2
200908,82.1,1.0
201008,83.5,2.4
201108,83.7,2.6
201208,81.5,0.4
201308,82.2,1.1
201408,82.9,1.8
201508,82.4,1.3
201608,83.0,1.9
201708,82.8,1.7
201808,82.2,1.1
201908,82.9,1.8
202008,83.2,2.1
202108,82.6,1.5
