Connecticut, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,33.4,8.0
195101,29.6,4.2
195201,29.2,3.8
195301,31.0,5.6
195401,23.6,-1.8
195501,24.8,-0.6
195601,27.0,1.6
195701,20.6,-4.8
195801,26.0,0.6
195901,25.2,-0.2
196001,26.6,1.2
196101,19.3,-6.1
196201,25.7,0.3
196301,23.7,-1.7
196401,27.2,1.8
196501,22.1,-3.3
196601,25.1,-0.3
196701,30.8,5.4
196801,20.8,-4.6
196901,24.6,-0.8
197001,17.5,-7.9
197101,20.0,-5.4
197201,27.8,2.4
197301,28.7,3.3
197401,27.8,2.4
197501,30.5,5.1
197601,21.2,-4.2
197701,17.3,-8.1
197801,23.3,-2.1
197901,27.1,1.7
198001,27.5,2.1
198101,17.7,-7.7
198201,17.8,-7.6
198301,27.0,1.6
198401,22.5,-2.9
198501,21.8,-3.6
198601,27.4,2.0
198701,25.5,0.1
198801,22.4,-3.0
198901,30.1,4.7
199001,34.3,8.9
199101,26.7,1.3
199201,28.3,2.9
199301,29.3,3.9
199401,18.7,-6.7
199501,32.3,6.9
199601,25.2,-0.2
199701,26.9,1.5
199801,33.1,7.7
199901,27.4,2.0
200001,24.6,-0.8
200101,25.8,0.4
200201,33.3,7.9
200301,21.4,-4.0
200401,18.7,-6.7
200501,24.3,-1.1
200601,33.7,8.3
200701,31.3,5.9
200801,29.7,4.3
200901,21.0,-4.4
201001,27.0,1.6
201101,23.2,-2.2
201201,31.7,6.3
201301,28.8,3.4
201401,23.6,-1.8
201501,23.3,-2.1
201601,29.7,4.3
201701,32.7,7.3
201801,25.4,0.0
201901,27.0,1.6
202001,33.0,7.6
202101,29.2,3.8
