Maine, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,44.6,0.3
195110,45.4,1.1
195210,42.1,-2.2
195310,45.7,1.4
195410,46.9,2.6
195510,44.6,0.3
195610,45.1,0.8
195710,45.9,1.6
195810,42.2,-2.1
195910,44.0,-0.3
196010,42.5,-1.8
196110,47.1,2.8
196210,43.5,-0.8
196310,48.8,4.5
196410,43.2,-1.1
196510,42.4,-1.9
196610,44.2,-0.1
196710,45.6,1.3
196810,47.8,3.5
196910,43.2,-1.1
197010,47.1,2.8
197110,48.7,4.4
197210,40.6,-3.7
197310,44.9,0.6
197410,39.4,-4.9
197510,45.4,1.1
197610,41.6,-2.7
197710,44.3,0.0
197810,42.7,-1.6
197910,44.6,0.3
198010,41.4,-2.9
198110,42.1,-2.2
198210,44.9,0.6
198310,44.3,0.0
198410,45.7,1.4
198510,45.1,0.8
198610,43.2,-1.1
198710,44.3,0.0
198810,41.5,-2.8
198910,45.1,0.8
199010,46.8,2.5
199110,46.2,1.9
199210,41.8,-2.5
199310,40.4,-3.9
199410,45.9,1.6
199510,48.8,4.5
199610,43.3,-1.0
199710,43.2,-1.1
199810,45.2,0.9
199910,42.4,-1.9
200010,44.6,0.3
200110,47.1,2.8
200210,41.7,-2.6
200310,44.6,0.3
200410,45.5,1.2
200510,47.2,2.9
200610,44.9,0.6
200710,49.6,5.3
200810,44.2,-0.1
200910,41.2,-3.1
201010,45.2,0.9
201110,47.6,3.3
201210,48.2,3.9
201310,47.3,3.0
201410,48.5,4.2
201510,43.2,-1.1
201610,46.9,2.6
201710,52.0,7.7
201810,41.9,-2.4
201910,46.1,1.8
202010,44.7,0.4
202110,50.2,5.9
