Georgia, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,52.9,4.3
195102,49.1,0.5
195202,50.7,2.1
195302,49.9,1.3
195402,52.1,3.5
195502,50.0,1.4
195602,54.0,5.4
195702,56.5,7.9
195802,40.2,-8.4
195902,51.0,2.4
196002,46.2,-2.4
196102,51.9,3.3
196202,54.9,6.3
196302,43.4,-5.2
196402,43.7,-4.9
196502,47.8,-0.8
196602,46.8,-1.8
196702,45.8,-2.8
196802,41.3,-7.3
196902,45.2,-3.4
197002,45.9,-2.7
197102,47.5,-1.1
197202,46.6,-2.0
197302,45.4,-3.2
197402,49.4,0.8
197502,52.1,3.5
197602,53.5,4.9
197702,45.2,-3.4
197802,40.4,-8.2
197902,44.5,-4.1
198002,44.0,-4.6
198102,48.4,-0.2
198202,51.3,2.7
198302,47.3,-1.3
198402,49.6,1.0
198502,48.4,-0.2
198602,52.8,4.2
198702,47.4,-1.2
198802,46.5,-2.1
198902,50.7,2.1
199002,55.6,7.0
199102,51.8,3.2
199202,52.2,3.6
199302,46.6,-2.0
199402,51.6,3.0
199502,47.9,-0.7
199602,49.1,0.5
199702,52.0,3.4
199802,50.3,1.7
199902,51.7,3.1
200002,51.6,3.0
200102,53.6,5.0
200202,48.4,-0.2
200302,48.9,0.3
200402,46.1,-2.5
200502,50.9,2.3
200602,47.4,-1.2
200702,46.7,-1.9
200802,50.8,2.2
200902,47.7,-0.9
201002,42.1,-6.5
201102,51.1,2.5
201202,52.8,4.2
201302,48.8,0.2
201402,49.8,1.2
201502,43.2,-5.4
201602,50.0,1.4
201702,56.5,7.9
201802,59.2,10.6
201902,56.1,7.5
202002,51.9,3.3
202102,49.5,0.9
