Alabama, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,72.1,-2.6
195109,75.6,0.9
195209,72.1,-2.6
195309,73.7,-1.0
195409,78.2,3.5
195509,76.8,2.1
195609,72.1,-2.6
195709,73.8,-0.9
195809,75.1,0.4
195909,74.7,0.0
196009,74.6,-0.1
196109,74.4,-0.3
196209,74.6,-0.1
196309,73.1,-1.6
196409,74.6,-0.1
196509,74.8,0.1
196609,72.9,-1.8
196709,68.8,-5.9
196809,72.3,-2.4
196909,72.0,-2.7
197009,77.4,2.7
197109,75.2,0.5
197209,77.2,2.5
197309,76.5,1.8
197409,70.9,-3.8
197509,70.4,-4.3
197609,72.0,-2.7
197709,75.7,1.0
197809,76.9,2.2
197909,72.6,-2.1
198009,78.1,3.4
198109,71.5,-3.2
198209,72.2,-2.5
198309,72.0,-2.7
198409,72.5,-2.2
198509,72.7,-2.0
198609,76.4,1.7
198709,73.6,-1.1
198809,74.5,-0.2
198909,72.9,-1.8
199009,76.3,1.6
199109,74.4,-0.3
199209,73.4,-1.3
199309,74.0,-0.7
199409,72.2,-2.5
199509,73.7,-1.0
199609,72.1,-2.6
199709,74.8,0.1
199809,77.4,2.7
199909,73.3,-1.4
200009,73.9,-0.8
200109,71.9,-2.8
200209,77.3,2.6
200309,73.1,-1.6
200409,73.8,-0.9
200509,76.9,2.2
200609,72.8,-1.9
200709,76.0,1.3
200809,74.5,-0.2
200909,75.0,0.3
201009,76.9,2.2
201109,72.1,-2.6
201209,73.0,-1.7
201309,75.0,0.3
201409,76.3,1.6
201509,74.4,-0.3
201609,78.6,3.9
201709,73.4,-1.3
201809,79.4,4.7
201909,80.2,5.5
202009,74.3,-0.4
202109,73.9,-0.8
