Kentucky, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,38.9,2.4
195102,36.8,0.3
195202,40.2,3.7
195302,40.3,3.8
195402,43.6,7.1
195502,37.2,0.7
195602,41.4,4.9
195702,42.1,5.6
195802,26.6,-9.9
195902,38.0,1.5
196002,32.5,-4.0
196102,40.8,4.3
196202,40.3,3.8
196302,29.3,-7.2
196402,32.9,-3.6
196502,35.3,-1.2
196602,35.0,-1.5
196702,32.0,-4.5
196802,28.5,-8.0
196902,35.6,-0.9
197002,33.4,-3.1
197102,34.9,-1.6
197202,34.8,-1.7
197302,35.3,-1.2
197402,38.2,1.7
197502,39.0,2.5
197602,44.0,7.5
197702,33.9,-2.6
197802,23.2,-13.3
197902,28.0,-8.5
198002,29.4,-7.1
198102,36.7,0.2
198202,35.6,-0.9
198302,37.7,1.2
198402,40.8,4.3
198502,31.9,-4.6
198602,39.9,3.4
198702,38.7,2.2
198802,34.8,-1.7
198902,33.8,-2.7
199002,44.6,8.1
199102,39.5,3.0
199202,42.2,5.7
199302,34.3,-2.2
199402,37.8,1.3
199502,35.0,-1.5
199602,36.4,-0.1
199702,41.9,5.4
199802,42.4,5.9
199902,41.4,4.9
200002,43.1,6.6
200102,41.3,4.8
200202,38.8,2.3
200302,33.6,-2.9
200402,36.9,0.4
200502,40.9,4.4
200602,36.2,-0.3
200702,29.8,-6.7
200802,37.5,1.0
200902,38.9,2.4
201002,30.6,-5.9
201102,39.1,2.6
201202,41.2,4.7
201302,36.8,0.3
201402,33.2,-3.3
201502,26.3,-10.2
201602,38.9,2.4
201702,46.2,9.7
201802,44.6,8.1
201902,42.3,5.8
202002,39.7,3.2
202102,32.3,-4.2
