North Dakota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,63.5,-3.4
195108,63.5,-3.4
195208,66.9,0.0
195308,69.1,2.2
195408,65.9,-1.0
195508,70.7,3.8
195608,66.0,-0.9
195708,66.6,-0.3
195808,68.9,2.0
195908,70.0,3.1
196008,68.3,1.4
196108,72.4,5.5
196208,67.8,0.9
196308,68.3,1.4
196408,64.2,-2.7
196508,65.9,-1.0
196608,64.3,-2.6
196708,67.2,0.3
196808,63.8,-3.1
196908,71.5,4.6
197008,68.7,1.8
197108,70.0,3.1
197208,68.5,1.6
197308,71.2,4.3
197408,62.9,-4.0
197508,65.2,-1.7
197608,70.0,3.1
197708,61.2,-5.7
197808,67.4,0.5
197908,65.0,-1.9
198008,63.7,-3.2
198108,69.1,2.2
198208,66.5,-0.4
198308,73.8,6.9
198408,71.6,4.7
198508,62.7,-4.2
198608,64.9,-2.0
198708,63.9,-3.0
198808,69.1,2.2
198908,68.7,1.8
199008,69.2,2.3
199108,70.7,3.8
199208,62.8,-4.1
199308,64.5,-2.4
199408,65.7,-1.2
199508,69.5,2.6
199608,69.1,2.2
199708,67.4,0.5
199808,70.6,3.7
199908,67.3,0.4
200008,68.4,1.5
200108,70.3,3.4
200208,66.1,-0.8
200308,72.2,5.3
200408,61.5,-5.4
200508,66.1,-0.8
200608,69.1,2.2
200708,66.0,-0.9
200808,68.6,1.7
200908,64.5,-2.4
201008,69.0,2.1
201108,68.6,1.7
201208,67.4,0.5
201308,68.6,1.7
201408,67.0,0.1
201508,68.0,1.1
201608,68.0,1.1
201708,65.2,-1.7
201808,67.6,0.7
201908,65.5,-1.4
202008,69.2,2.3
202108,68.9,2.0
