Arizona, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,73.4,-1.0
195106,72.0,-2.4
195206,73.4,-1.0
195306,74.5,0.1
195406,73.6,-0.8
195506,72.7,-1.7
195606,77.3,2.9
195706,76.1,1.7
195806,76.5,2.1
195906,77.9,3.5
196006,77.9,3.5
196106,77.9,3.5
196206,73.2,-1.2
196306,71.6,-2.8
196406,72.7,-1.7
196506,69.0,-5.4
196606,74.5,0.1
196706,71.5,-2.9
196806,75.1,0.7
196906,72.5,-1.9
197006,74.7,0.3
197106,73.8,-0.6
197206,74.3,-0.1
197306,74.4,0.0
197406,78.9,4.5
197506,72.8,-1.6
197606,74.0,-0.4
197706,76.2,1.8
197806,76.3,1.9
197906,74.2,-0.2
198006,75.0,0.6
198106,78.6,4.2
198206,72.2,-2.2
198306,72.4,-2.0
198406,74.1,-0.3
198506,76.9,2.5
198606,76.6,2.2
198706,76.3,1.9
198806,76.2,1.8
198906,75.6,1.2
199006,78.3,3.9
199106,71.6,-2.8
199206,73.5,-0.9
199306,74.2,-0.2
199406,79.2,4.8
199506,72.1,-2.3
199606,78.0,3.6
199706,73.8,-0.6
199806,71.8,-2.6
199906,74.5,0.1
200006,77.8,3.4
200106,77.5,3.1
200206,78.8,4.4
200306,76.3,1.9
200406,75.9,1.5
200506,74.4,0.0
200606,79.5,5.1
200706,77.3,2.9
200806,77.3,2.9
200906,73.0,-1.4
201006,75.9,1.5
201106,75.7,1.3
201206,78.7,4.3
201306,79.5,5.1
201406,77.7,3.3
201506,78.4,4.0
201606,80.3,5.9
201706,79.8,5.4
201806,78.6,4.2
201906,75.2,0.8
202006,76.8,2.4
202106,80.7,6.3
