Oregon, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,49.0,0.9
195110,46.2,-1.9
195210,52.6,4.5
195310,48.7,0.6
195410,46.4,-1.7
195510,48.6,0.5
195610,46.0,-2.1
195710,46.0,-2.1
195810,50.5,2.4
195910,48.9,0.8
196010,48.6,0.5
196110,47.0,-1.1
196210,48.2,0.1
196310,50.3,2.2
196410,50.0,1.9
196510,51.7,3.6
196610,48.1,0.0
196710,48.4,0.3
196810,47.0,-1.1
196910,44.3,-3.8
197010,45.6,-2.5
197110,45.0,-3.1
197210,47.0,-1.1
197310,47.3,-0.8
197410,48.2,0.1
197510,47.2,-0.9
197610,48.6,0.5
197710,48.4,0.3
197810,50.0,1.9
197910,51.4,3.3
198010,48.9,0.8
198110,46.1,-2.0
198210,47.1,-1.0
198310,49.0,0.9
198410,44.2,-3.9
198510,45.8,-2.3
198610,49.6,1.5
198710,52.9,4.8
198810,55.4,7.3
198910,47.4,-0.7
199010,46.7,-1.4
199110,50.0,1.9
199210,50.6,2.5
199310,50.6,2.5
199410,46.9,-1.2
199510,47.0,-1.1
199610,47.7,-0.4
199710,46.9,-1.2
199810,46.8,-1.3
199910,50.3,2.2
200010,47.5,-0.6
200110,49.0,0.9
200210,46.5,-1.6
200310,52.1,4.0
200410,48.3,0.2
200510,48.9,0.8
200610,47.6,-0.5
200710,46.2,-1.9
200810,48.8,0.7
200910,45.1,-3.0
201010,50.0,1.9
201110,49.0,0.9
201210,48.8,0.7
201310,46.2,-1.9
201410,52.9,4.8
201510,54.3,6.2
201610,48.1,0.0
201710,47.0,-1.1
201810,48.8,0.7
201910,43.2,-4.9
202010,51.3,3.2
202110,47.6,-0.5
