Michigan, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,63.0,-0.3
195106,61.7,-1.6
195206,65.9,2.6
195306,65.4,2.1
195406,66.2,2.9
195506,63.9,0.6
195606,65.4,2.1
195706,63.8,0.5
195806,58.6,-4.7
195906,65.4,2.1
196006,61.4,-1.9
196106,62.4,-0.9
196206,63.1,-0.2
196306,65.0,1.7
196406,63.9,0.6
196506,61.8,-1.5
196606,65.2,1.9
196706,65.4,2.1
196806,62.7,-0.6
196906,58.5,-4.8
197006,63.9,0.6
197106,67.0,3.7
197206,60.0,-3.3
197306,65.3,2.0
197406,61.4,-1.9
197506,64.5,1.2
197606,66.2,2.9
197706,61.2,-2.1
197806,62.4,-0.9
197906,62.7,-0.6
198006,60.3,-3.0
198106,63.7,0.4
198206,58.5,-4.8
198306,63.9,0.6
198406,65.6,2.3
198506,60.0,-3.3
198606,61.5,-1.8
198706,67.2,3.9
198806,65.9,2.6
198906,62.5,-0.8
199006,63.5,0.2
199106,67.3,4.0
199206,60.3,-3.0
199306,61.4,-1.9
199406,65.0,1.7
199506,67.4,4.1
199606,64.3,1.0
199706,65.6,2.3
199806,63.8,0.5
199906,66.4,3.1
200006,63.5,0.2
200106,64.4,1.1
200206,65.6,2.3
200306,62.1,-1.2
200406,62.0,-1.3
200506,69.4,6.1
200606,64.3,1.0
200706,67.1,3.8
200806,64.8,1.5
200906,62.5,-0.8
201006,64.9,1.6
201106,64.2,0.9
201206,66.5,3.2
201306,63.8,0.5
201406,65.2,1.9
201506,62.5,-0.8
201606,64.7,1.4
201706,65.3,2.0
201806,65.2,1.9
201906,62.5,-0.8
202006,66.0,2.7
202106,67.7,4.4
