New Hampshire, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,24.9,3.2
195112,22.0,0.3
195212,25.4,3.7
195312,29.4,7.7
195412,23.2,1.5
195512,14.9,-6.8
195612,24.8,3.1
195712,28.4,6.7
195812,13.0,-8.7
195912,25.4,3.7
196012,17.3,-4.4
196112,23.1,1.4
196212,19.4,-2.3
196312,14.1,-7.6
196412,21.9,0.2
196512,24.4,2.7
196612,23.1,1.4
196712,23.9,2.2
196812,19.2,-2.5
196912,21.8,0.1
197012,17.3,-4.4
197112,23.0,1.3
197212,22.5,0.8
197312,27.0,5.3
197412,26.0,4.3
197512,20.6,-1.1
197612,15.2,-6.5
197712,20.4,-1.3
197812,21.9,0.2
197912,26.1,4.4
198012,15.9,-5.8
198112,23.7,2.0
198212,28.8,7.1
198312,20.8,-0.9
198412,27.6,5.9
198512,18.7,-3.0
198612,25.0,3.3
198712,26.3,4.6
198812,20.2,-1.5
198912,7.6,-14.1
199012,28.1,6.4
199112,22.8,1.1
199212,24.5,2.8
199312,24.3,2.6
199412,27.5,5.8
199512,19.5,-2.2
199612,29.6,7.9
199712,24.7,3.0
199812,30.1,8.4
199912,27.1,5.4
200012,19.2,-2.5
200112,30.6,8.9
200212,22.7,1.0
200312,24.2,2.5
200412,23.0,1.3
200512,22.7,1.0
200612,31.5,9.8
200712,21.6,-0.1
200812,24.4,2.7
200912,23.2,1.5
201012,23.1,1.4
201112,29.4,7.7
201212,28.7,7.0
201312,22.2,0.5
201412,28.7,7.0
201512,35.2,13.5
201612,24.4,2.7
201712,19.6,-2.1
201812,24.7,3.0
201912,24.7,3.0
202012,28.0,6.3
202112,29.0,7.3
