Massachusetts, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,52.0,2.0
195110,51.4,1.4
195210,48.2,-1.8
195310,51.8,1.8
195410,54.3,4.3
195510,51.1,1.1
195610,49.8,-0.2
195710,49.5,-0.5
195810,48.2,-1.8
195910,51.2,1.2
196010,49.0,-1.0
196110,52.8,2.8
196210,49.0,-1.0
196310,54.4,4.4
196410,48.6,-1.4
196510,48.7,-1.3
196610,48.6,-1.4
196710,50.4,0.4
196810,52.8,2.8
196910,49.7,-0.3
197010,51.7,1.7
197110,55.4,5.4
197210,46.0,-4.0
197310,50.6,0.6
197410,45.3,-4.7
197510,52.1,2.1
197610,46.8,-3.2
197710,49.3,-0.7
197810,48.3,-1.7
197910,49.5,-0.5
198010,47.6,-2.4
198110,46.6,-3.4
198210,49.2,-0.8
198310,50.2,0.2
198410,52.4,2.4
198510,50.8,0.8
198610,49.5,-0.5
198710,47.8,-2.2
198810,46.0,-4.0
198910,50.8,0.8
199010,54.5,4.5
199110,52.3,2.3
199210,46.8,-3.2
199310,47.8,-2.2
199410,50.0,0.0
199510,53.6,3.6
199610,49.5,-0.5
199710,48.6,-1.4
199810,51.1,1.1
199910,48.9,-1.1
200010,50.2,0.2
200110,51.9,1.9
200210,48.4,-1.6
200310,48.6,-1.4
200410,50.0,0.0
200510,52.1,2.1
200610,50.0,0.0
200710,56.0,6.0
200810,49.1,-0.9
200910,48.4,-1.6
201010,51.5,1.5
201110,52.6,2.6
201210,53.5,3.5
201310,51.8,1.8
201410,53.3,3.3
201510,50.1,0.1
201610,52.2,2.2
201710,57.5,7.5
201810,50.3,0.3
201910,52.4,2.4
202010,52.4,2.4
202110,56.3,6.3
