Louisiana, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,54.8,-2.6
195111,53.8,-3.6
195211,55.2,-2.2
195311,55.6,-1.8
195411,55.6,-1.8
195511,56.6,-0.8
195611,56.3,-1.1
195711,58.0,0.6
195811,58.8,1.4
195911,53.8,-3.6
196011,58.8,1.4
196111,56.7,-0.7
196211,55.0,-2.4
196311,58.4,1.0
196411,61.0,3.6
196511,63.5,6.1
196611,60.2,2.8
196711,57.1,-0.3
196811,54.7,-2.7
196911,55.8,-1.6
197011,53.4,-4.0
197111,56.8,-0.6
197211,53.2,-4.2
197311,63.5,6.1
197411,57.3,-0.1
197511,58.1,0.7
197611,49.9,-7.5
197711,59.4,2.0
197811,62.2,4.8
197911,53.8,-3.6
198011,54.8,-2.6
198111,60.1,2.7
198211,58.9,1.5
198311,58.1,0.7
198411,56.5,-0.9
198511,63.9,6.5
198611,60.9,3.5
198711,58.3,0.9
198811,60.9,3.5
198911,59.8,2.4
199011,60.1,2.7
199111,53.5,-3.9
199211,54.3,-3.1
199311,54.4,-3.0
199411,62.1,4.7
199511,56.1,-1.3
199611,58.8,1.4
199711,54.8,-2.6
199811,61.4,4.0
199911,59.6,2.2
200011,55.3,-2.1
200111,61.9,4.5
200211,55.7,-1.7
200311,61.9,4.5
200411,61.8,4.4
200511,61.0,3.6
200611,58.0,0.6
200711,59.7,2.3
200811,56.8,-0.6
200911,58.3,0.9
201011,59.0,1.6
201111,59.7,2.3
201211,57.0,-0.4
201311,55.0,-2.4
201411,53.1,-4.3
201511,62.7,5.3
201611,62.4,5.0
201711,61.6,4.2
201811,54.8,-2.6
201911,54.7,-2.7
202011,61.9,4.5
202111,56.5,-0.9
