Maryland, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,38.8,-3.7
195103,42.1,-0.4
195203,40.8,-1.7
195303,43.9,1.4
195403,42.1,-0.4
195503,44.6,2.1
195603,40.2,-2.3
195703,42.1,-0.4
195803,38.2,-4.3
195903,42.0,-0.5
196003,31.6,-10.9
196103,44.3,1.8
196203,40.2,-2.3
196303,45.1,2.6
196403,43.8,1.3
196503,39.0,-3.5
196603,43.6,1.1
196703,41.0,-1.5
196803,45.1,2.6
196903,38.7,-3.8
197003,38.2,-4.3
197103,39.9,-2.6
197203,41.3,-1.2
197303,47.4,4.9
197403,44.7,2.2
197503,40.8,-1.7
197603,46.7,4.2
197703,48.0,5.5
197803,39.2,-3.3
197903,45.6,3.1
198003,40.1,-2.4
198103,40.5,-2.0
198203,42.0,-0.5
198303,44.6,2.1
198403,37.5,-5.0
198503,45.2,2.7
198603,44.0,1.5
198703,44.5,2.0
198803,43.8,1.3
198903,42.8,0.3
199003,46.8,4.3
199103,45.6,3.1
199203,41.4,-1.1
199303,39.2,-3.3
199403,41.7,-0.8
199503,45.7,3.2
199603,38.7,-3.8
199703,44.9,2.4
199803,44.9,2.4
199903,41.0,-1.5
200003,48.4,5.9
200103,40.4,-2.1
200203,45.4,2.9
200303,44.4,1.9
200403,45.6,3.1
200503,39.7,-2.8
200603,44.3,1.8
200703,44.9,2.4
200803,44.8,2.3
200903,43.1,0.6
201003,47.4,4.9
201103,43.7,1.2
201203,52.7,10.2
201303,39.7,-2.8
201403,38.2,-4.3
201503,39.4,-3.1
201603,49.4,6.9
201703,43.1,0.6
201803,39.3,-3.2
201903,42.1,-0.4
202003,49.3,6.8
202103,47.2,4.7
