Tennessee, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,48.4,11.2
195101,39.1,1.9
195201,43.9,6.7
195301,43.1,5.9
195401,38.8,1.6
195501,36.6,-0.6
195601,34.2,-3.0
195701,37.3,0.1
195801,33.5,-3.7
195901,35.4,-1.8
196001,38.4,1.2
196101,32.3,-4.9
196201,34.5,-2.7
196301,30.4,-6.8
196401,36.6,-0.6
196501,38.8,1.6
196601,31.4,-5.8
196701,39.4,2.2
196801,34.2,-3.0
196901,35.5,-1.7
197001,29.7,-7.5
197101,35.8,-1.4
197201,40.0,2.8
197301,35.9,-1.3
197401,44.6,7.4
197501,41.3,4.1
197601,33.4,-3.8
197701,23.1,-14.1
197801,26.8,-10.4
197901,29.2,-8.0
198001,38.8,1.6
198101,32.3,-4.9
198201,32.8,-4.4
198301,36.2,-1.0
198401,32.0,-5.2
198501,28.5,-8.7
198601,35.9,-1.3
198701,35.9,-1.3
198801,32.8,-4.4
198901,42.8,5.6
199001,43.8,6.6
199101,38.4,1.2
199201,38.6,1.4
199301,40.9,3.7
199401,32.0,-5.2
199501,38.2,1.0
199601,35.8,-1.4
199701,37.0,-0.2
199801,42.6,5.4
199901,42.0,4.8
200001,37.8,0.6
200101,34.3,-2.9
200201,40.3,3.1
200301,32.2,-5.0
200401,36.9,-0.3
200501,42.8,5.6
200601,45.0,7.8
200701,40.2,3.0
200801,36.4,-0.8
200901,35.3,-1.9
201001,32.8,-4.4
201101,33.9,-3.3
201201,42.4,5.2
201301,41.0,3.8
201401,30.0,-7.2
201501,36.1,-1.1
201601,34.8,-2.4
201701,44.9,7.7
201801,32.9,-4.3
201901,39.4,2.2
202001,43.0,5.8
202101,39.7,2.5
