Nevada, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,36.8,2.7
195102,34.9,0.8
195202,31.2,-2.9
195302,35.0,0.9
195402,39.5,5.4
195502,27.2,-6.9
195602,28.2,-5.9
195702,38.4,4.3
195802,39.2,5.1
195902,32.4,-1.7
196002,31.2,-2.9
196102,37.2,3.1
196202,33.0,-1.1
196302,42.4,8.3
196402,30.3,-3.8
196502,35.2,1.1
196602,30.1,-4.0
196702,36.3,2.2
196802,40.5,6.4
196902,30.9,-3.2
197002,39.2,5.1
197102,35.3,1.2
197202,36.5,2.4
197302,34.3,0.2
197402,33.7,-0.4
197502,33.1,-1.0
197602,36.2,2.1
197702,37.4,3.3
197802,35.8,1.7
197902,32.8,-1.3
198002,38.9,4.8
198102,36.6,2.5
198202,34.8,0.7
198302,36.3,2.2
198402,32.9,-1.2
198502,30.5,-3.6
198602,39.5,5.4
198702,35.0,0.9
198802,35.9,1.8
198902,29.3,-4.8
199002,30.9,-3.2
199102,41.2,7.1
199202,39.3,5.2
199302,30.4,-3.7
199402,32.3,-1.8
199502,42.8,8.7
199602,37.4,3.3
199702,34.8,0.7
199802,33.5,-0.6
199902,35.7,1.6
200002,38.3,4.2
200102,32.0,-2.1
200202,35.2,1.1
200302,34.1,0.0
200402,32.3,-1.8
200502,35.4,1.3
200602,35.2,1.1
200702,36.8,2.7
200802,34.6,0.5
200902,35.3,1.2
201002,35.8,1.7
201102,32.8,-1.3
201202,34.6,0.5
201302,33.3,-0.8
201402,39.2,5.1
201502,42.8,8.7
201602,38.0,3.9
201702,38.1,4.0
201802,33.7,-0.4
201902,30.0,-4.1
202002,36.3,2.2
202102,35.6,1.5
