Ohio, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,70.2,-2.8
195107,72.6,-0.4
195207,75.6,2.6
195307,73.6,0.6
195407,72.6,-0.4
195507,76.8,3.8
195607,71.6,-1.4
195707,72.6,-0.4
195807,72.5,-0.5
195907,73.1,0.1
196007,70.2,-2.8
196107,71.9,-1.1
196207,70.8,-2.2
196307,71.7,-1.3
196407,73.5,0.5
196507,70.4,-2.6
196607,74.3,1.3
196707,70.4,-2.6
196807,72.3,-0.7
196907,73.7,0.7
197007,72.6,-0.4
197107,70.7,-2.3
197207,72.2,-0.8
197307,73.0,0.0
197407,72.5,-0.5
197507,72.1,-0.9
197607,71.1,-1.9
197707,75.0,2.0
197807,71.9,-1.1
197907,70.5,-2.5
198007,74.0,1.0
198107,72.8,-0.2
198207,73.2,0.2
198307,75.5,2.5
198407,70.2,-2.8
198507,71.8,-1.2
198607,74.0,1.0
198707,74.8,1.8
198807,75.7,2.7
198907,73.4,0.4
199007,71.6,-1.4
199107,74.6,1.6
199207,71.6,-1.4
199307,74.7,1.7
199407,73.0,0.0
199507,73.9,0.9
199607,70.5,-2.5
199707,71.9,-1.1
199807,72.0,-1.0
199907,76.8,3.8
200007,69.9,-3.1
200107,71.9,-1.1
200207,75.7,2.7
200307,71.6,-1.4
200407,71.4,-1.6
200507,75.1,2.1
200607,74.2,1.2
200707,70.6,-2.4
200807,72.3,-0.7
200907,68.5,-4.5
201007,75.1,2.1
201107,77.3,4.3
201207,77.5,4.5
201307,72.5,-0.5
201407,69.4,-3.6
201507,71.6,-1.4
201607,74.8,1.8
201707,73.0,0.0
201807,73.8,0.8
201907,75.9,2.9
202007,76.9,3.9
202107,73.0,0.0
