Vermont, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,20.9,-6.3
195103,29.2,2.0
195203,27.8,0.6
195303,30.8,3.6
195403,27.2,0.0
195503,26.1,-1.1
195603,21.0,-6.2
195703,28.8,1.6
195803,31.1,3.9
195903,25.0,-2.2
196003,21.1,-6.1
196103,27.1,-0.1
196203,28.6,1.4
196303,27.2,0.0
196403,29.2,2.0
196503,25.7,-1.5
196603,28.8,1.6
196703,23.0,-4.2
196803,30.2,3.0
196903,25.3,-1.9
197003,25.9,-1.3
197103,24.2,-3.0
197203,24.5,-2.7
197303,35.2,8.0
197403,26.2,-1.0
197503,25.1,-2.1
197603,28.8,1.6
197703,34.5,7.3
197803,23.8,-3.4
197903,33.5,6.3
198003,27.2,0.0
198103,29.8,2.6
198203,26.7,-0.5
198303,30.7,3.5
198403,21.5,-5.7
198503,29.4,2.2
198603,30.1,2.9
198703,30.6,3.4
198803,27.2,0.0
198903,26.0,-1.2
199003,30.2,3.0
199103,31.2,4.0
199203,23.8,-3.4
199303,25.2,-2.0
199403,27.1,-0.1
199503,32.3,5.1
199603,25.9,-1.3
199703,24.8,-2.4
199803,31.3,4.1
199903,28.9,1.7
200003,34.1,6.9
200103,25.2,-2.0
200203,29.7,2.5
200303,27.8,0.6
200403,31.6,4.4
200503,25.1,-2.1
200603,28.9,1.7
200703,25.8,-1.4
200803,25.8,-1.4
200903,29.6,2.4
201003,35.9,8.7
201103,27.5,0.3
201203,38.7,11.5
201303,29.5,2.3
201403,18.6,-8.6
201503,22.3,-4.9
201603,33.6,6.4
201703,23.5,-3.7
201803,28.2,1.0
201903,25.9,-1.3
202003,33.0,5.8
202103,30.9,3.7
