Indiana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,35.8,9.3
195101,28.8,2.3
195201,31.8,5.3
195301,32.0,5.5
195401,29.5,3.0
195501,26.7,0.2
195601,26.4,-0.1
195701,22.3,-4.2
195801,27.1,0.6
195901,23.4,-3.1
196001,30.0,3.5
196101,23.5,-3.0
196201,23.0,-3.5
196301,18.0,-8.5
196401,29.8,3.3
196501,27.4,0.9
196601,22.1,-4.4
196701,30.4,3.9
196801,23.1,-3.4
196901,24.1,-2.4
197001,18.6,-7.9
197101,22.5,-4.0
197201,26.0,-0.5
197301,29.6,3.1
197401,29.2,2.7
197501,31.2,4.7
197601,23.3,-3.2
197701,10.1,-16.4
197801,16.9,-9.6
197901,16.8,-9.7
198001,27.5,1.0
198101,23.0,-3.5
198201,18.5,-8.0
198301,29.5,3.0
198401,21.0,-5.5
198501,20.2,-6.3
198601,28.1,1.6
198701,26.9,0.4
198801,24.0,-2.5
198901,34.7,8.2
199001,36.6,10.1
199101,26.3,-0.2
199201,30.4,3.9
199301,30.3,3.8
199401,20.2,-6.3
199501,28.1,1.6
199601,25.2,-1.3
199701,23.1,-3.4
199801,34.8,8.3
199901,27.0,0.5
200001,26.6,0.1
200101,26.9,0.4
200201,34.1,7.6
200301,21.6,-4.9
200401,24.5,-2.0
200501,29.9,3.4
200601,39.1,12.6
200701,32.2,5.7
200801,27.7,1.2
200901,21.3,-5.2
201001,23.9,-2.6
201101,23.7,-2.8
201201,32.4,5.9
201301,29.9,3.4
201401,19.4,-7.1
201501,25.3,-1.2
201601,27.5,1.0
201701,33.8,7.3
201801,24.5,-2.0
201901,27.0,0.5
202001,34.3,7.8
202101,30.5,4.0
