Michigan, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,22.0,3.9
195101,18.8,0.7
195201,21.4,3.3
195301,23.0,4.9
195401,17.8,-0.3
195501,19.1,1.0
195601,19.8,1.7
195701,13.8,-4.3
195801,20.4,2.3
195901,13.1,-5.0
196001,21.4,3.3
196101,15.8,-2.3
196201,14.7,-3.4
196301,9.9,-8.2
196401,23.5,5.4
196501,17.2,-0.9
196601,14.5,-3.6
196701,22.2,4.1
196801,17.0,-1.1
196901,19.0,0.9
197001,13.2,-4.9
197101,14.5,-3.6
197201,16.4,-1.7
197301,22.9,4.8
197401,19.8,1.7
197501,22.2,4.1
197601,14.9,-3.2
197701,8.6,-9.5
197801,15.1,-3.0
197901,12.3,-5.8
198001,19.6,1.5
198101,15.8,-2.3
198201,11.2,-6.9
198301,22.5,4.4
198401,13.4,-4.7
198501,16.0,-2.1
198601,19.2,1.1
198701,22.5,4.4
198801,17.6,-0.5
198901,25.5,7.4
199001,27.6,9.5
199101,17.4,-0.7
199201,22.9,4.8
199301,21.4,3.3
199401,9.5,-8.6
199501,22.9,4.8
199601,16.7,-1.4
199701,17.5,-0.6
199801,24.8,6.7
199901,17.7,-0.4
200001,19.3,1.2
200101,23.4,5.3
200201,27.5,9.4
200301,16.7,-1.4
200401,14.3,-3.8
200501,18.0,-0.1
200601,29.9,11.8
200701,24.1,6.0
200801,22.8,4.7
200901,12.6,-5.5
201001,21.3,3.2
201101,16.9,-1.2
201201,25.1,7.0
201301,23.0,4.9
201401,12.3,-5.8
201501,16.6,-1.5
201601,22.3,4.2
201701,25.2,7.1
201801,20.0,1.9
201901,16.8,-1.3
202001,27.0,8.9
202101,25.0,6.9
