Ohio, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,44.2,-5.0
195104,47.5,-1.7
195204,50.0,0.8
195304,46.3,-2.9
195404,55.2,6.0
195504,55.2,6.0
195604,46.7,-2.5
195704,51.5,2.3
195804,50.2,1.0
195904,50.4,1.2
196004,53.3,4.1
196104,43.9,-5.3
196204,48.2,-1.0
196304,50.0,0.8
196404,51.3,2.1
196504,48.6,-0.6
196604,47.4,-1.8
196704,51.7,2.5
196804,51.4,2.2
196904,51.0,1.8
197004,51.3,2.1
197104,47.2,-2.0
197204,48.4,-0.8
197304,49.2,0.0
197404,51.7,2.5
197504,44.2,-5.0
197604,50.8,1.6
197704,53.4,4.2
197804,49.3,0.1
197904,48.2,-1.0
198004,47.9,-1.3
198104,53.1,3.9
198204,45.4,-3.8
198304,47.0,-2.2
198404,48.3,-0.9
198504,55.1,5.9
198604,53.0,3.8
198704,50.1,0.9
198804,49.0,-0.2
198904,47.1,-2.1
199004,49.8,0.6
199104,53.6,4.4
199204,49.5,0.3
199304,48.8,-0.4
199404,51.9,2.7
199504,48.2,-1.0
199604,48.3,-0.9
199704,46.2,-3.0
199804,51.2,2.0
199904,52.8,3.6
200004,49.7,0.5
200104,53.9,4.7
200204,52.6,3.4
200304,52.0,2.8
200404,51.0,1.8
200504,52.2,3.0
200604,54.3,5.1
200704,48.4,-0.8
200804,52.9,3.7
200904,51.1,1.9
201004,55.4,6.2
201104,52.1,2.9
201204,50.2,1.0
201304,50.6,1.4
201404,51.4,2.2
201504,51.5,2.3
201604,50.2,1.0
201704,56.6,7.4
201804,45.1,-4.1
201904,52.3,3.1
202004,47.8,-1.4
202104,51.4,2.2
