Texas, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,73.4,0.9
195105,72.8,0.3
195205,71.6,-0.9
195305,72.8,0.3
195405,69.8,-2.7
195505,74.6,2.1
195605,76.0,3.5
195705,70.8,-1.7
195805,72.6,0.1
195905,74.3,1.8
196005,71.5,-1.0
196105,73.4,0.9
196205,75.6,3.1
196305,74.4,1.9
196405,74.4,1.9
196505,72.9,0.4
196605,71.6,-0.9
196705,71.9,-0.6
196805,71.7,-0.8
196905,71.3,-1.2
197005,70.7,-1.8
197105,72.3,-0.2
197205,71.0,-1.5
197305,70.8,-1.7
197405,75.5,3.0
197505,71.7,-0.8
197605,68.3,-4.2
197705,73.4,0.9
197805,74.0,1.5
197905,69.8,-2.7
198005,72.2,-0.3
198105,70.9,-1.6
198205,71.5,-1.0
198305,70.7,-1.8
198405,73.9,1.4
198505,73.6,1.1
198605,72.3,-0.2
198705,72.1,-0.4
198805,71.3,-1.2
198905,75.3,2.8
199005,72.8,0.3
199105,74.6,2.1
199205,69.6,-2.9
199305,70.6,-1.9
199405,71.5,-1.0
199505,72.4,-0.1
199605,78.5,6.0
199705,70.5,-2.0
199805,77.2,4.7
199905,72.8,0.3
200005,76.9,4.4
200105,74.1,1.6
200205,74.0,1.5
200305,75.8,3.3
200405,73.7,1.2
200505,71.8,-0.7
200605,75.7,3.2
200705,71.4,-1.1
200805,74.3,1.8
200905,73.6,1.1
201005,73.8,1.3
201105,74.1,1.6
201205,75.5,3.0
201305,72.5,0.0
201405,72.0,-0.5
201505,71.6,-0.9
201605,71.6,-0.9
201705,72.0,-0.5
201805,78.0,5.5
201905,72.5,0.0
202005,74.6,2.1
202105,71.8,-0.7
