Tennessee, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,41.7,-5.7
195111,41.6,-5.8
195211,46.0,-1.4
195311,46.0,-1.4
195411,45.4,-2.0
195511,45.0,-2.4
195611,46.0,-1.4
195711,47.8,0.4
195811,49.7,2.3
195911,44.5,-2.9
196011,46.8,-0.6
196111,48.8,1.4
196211,46.0,-1.4
196311,48.1,0.7
196411,50.9,3.5
196511,50.5,3.1
196611,49.0,1.6
196711,43.7,-3.7
196811,47.0,-0.4
196911,44.2,-3.2
197011,45.6,-1.8
197111,47.4,0.0
197211,45.1,-2.3
197311,51.3,3.9
197411,48.0,0.6
197511,49.4,2.0
197611,39.7,-7.7
197711,50.0,2.6
197811,52.2,4.8
197911,47.5,0.1
198011,46.6,-0.8
198111,48.9,1.5
198211,49.3,1.9
198311,47.9,0.5
198411,45.6,-1.8
198511,55.5,8.1
198611,49.9,2.5
198711,50.7,3.3
198811,49.3,1.9
198911,48.2,0.8
199011,51.7,4.3
199111,45.4,-2.0
199211,47.8,0.4
199311,46.1,-1.3
199411,52.8,5.4
199511,42.8,-4.6
199611,44.5,-2.9
199711,43.9,-3.5
199811,50.7,3.3
199911,52.8,5.4
200011,46.9,-0.5
200111,53.0,5.6
200211,45.3,-2.1
200311,52.8,5.4
200411,53.0,5.6
200511,50.4,3.0
200611,48.4,1.0
200711,48.2,0.8
200811,45.2,-2.2
200911,50.5,3.1
201011,49.8,2.4
201111,51.0,3.6
201211,45.8,-1.6
201311,44.8,-2.6
201411,42.4,-5.0
201511,53.5,6.1
201611,52.7,5.3
201711,49.9,2.5
201811,44.4,-3.0
201911,44.2,-3.2
202011,51.9,4.5
202111,45.6,-1.8
