Pennsylvania, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,24.8,-4.1
195112,29.7,0.8
195212,31.4,2.5
195312,33.0,4.1
195412,28.3,-0.6
195512,24.8,-4.1
195612,35.4,6.5
195712,32.9,4.0
195812,20.9,-8.0
195912,31.7,2.8
196012,21.2,-7.7
196112,28.4,-0.5
196212,23.7,-5.2
196312,22.2,-6.7
196412,30.5,1.6
196512,33.1,4.2
196612,28.7,-0.2
196712,31.0,2.1
196812,26.4,-2.5
196912,25.1,-3.8
197012,30.0,1.1
197112,35.0,6.1
197212,33.4,4.5
197312,31.1,2.2
197412,31.1,2.2
197512,29.7,0.8
197612,22.8,-6.1
197712,26.8,-2.1
197812,30.3,1.4
197912,32.7,3.8
198012,25.9,-3.0
198112,27.9,-1.0
198212,36.5,7.6
198312,25.2,-3.7
198412,36.2,7.3
198512,25.7,-3.2
198612,31.4,2.5
198712,32.8,3.9
198812,29.2,0.3
198912,17.4,-11.5
199012,34.4,5.5
199112,32.7,3.8
199212,30.3,1.4
199312,28.8,-0.1
199412,34.6,5.7
199512,25.1,-3.8
199612,34.0,5.1
199712,32.1,3.2
199812,36.0,7.1
199912,32.4,3.5
200012,22.4,-6.5
200112,36.4,7.5
200212,27.8,-1.1
200312,30.7,1.8
200412,30.9,2.0
200512,26.4,-2.5
200612,37.3,8.4
200712,31.4,2.5
200812,30.7,1.8
200912,28.9,0.0
201012,25.4,-3.5
201112,35.3,6.4
201212,35.8,6.9
201312,30.8,1.9
201412,34.0,5.1
201512,42.3,13.4
201612,31.2,2.3
201712,28.0,-0.9
201812,33.5,4.6
201912,32.6,3.7
202012,32.1,3.2
202112,37.6,8.7
