Nevada, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,53.6,-1.4
195105,55.3,0.3
195205,56.7,1.7
195305,48.2,-6.8
195405,59.4,4.4
195505,52.6,-2.4
195605,55.8,0.8
195705,52.4,-2.6
195805,59.5,4.5
195905,52.0,-3.0
196005,54.6,-0.4
196105,54.4,-0.6
196205,52.6,-2.4
196305,57.5,2.5
196405,52.8,-2.2
196505,51.1,-3.9
196605,59.6,4.6
196705,54.2,-0.8
196805,54.6,-0.4
196905,59.4,4.4
197005,55.5,0.5
197105,51.4,-3.6
197205,56.7,1.7
197305,58.2,3.2
197405,56.8,1.8
197505,52.5,-2.5
197605,58.3,3.3
197705,48.8,-6.2
197805,52.8,-2.2
197905,56.4,1.4
198005,52.2,-2.8
198105,54.8,-0.2
198205,54.5,-0.5
198305,53.2,-1.8
198405,58.5,3.5
198505,56.6,1.6
198605,56.3,1.3
198705,57.1,2.1
198805,54.7,-0.3
198905,55.4,0.4
199005,53.9,-1.1
199105,50.5,-4.5
199205,61.8,6.8
199305,58.3,3.3
199405,57.2,2.2
199505,51.6,-3.4
199605,56.0,1.0
199705,60.5,5.5
199805,50.0,-5.0
199905,54.0,-1.0
200005,58.6,3.6
200105,61.8,6.8
200205,55.7,0.7
200305,57.0,2.0
200405,56.8,1.8
200505,56.3,1.3
200605,59.0,4.0
200705,58.8,3.8
200805,54.2,-0.8
200905,60.6,5.6
201005,49.2,-5.8
201105,50.8,-4.2
201205,58.0,3.0
201305,56.5,1.5
201405,57.4,2.4
201505,55.4,0.4
201605,55.1,0.1
201705,57.1,2.1
201805,57.7,2.7
201905,51.7,-3.3
202005,58.8,3.8
202105,57.2,2.2
