Alabama, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,52.2,-2.9
195103,56.1,1.0
195203,53.3,-1.8
195303,58.1,3.0
195403,53.8,-1.3
195503,58.6,3.5
195603,54.6,-0.5
195703,52.7,-2.4
195803,50.9,-4.2
195903,52.1,-3.0
196003,45.3,-9.8
196103,57.4,2.3
196203,50.9,-4.2
196303,58.3,3.2
196403,54.1,-1.0
196503,51.3,-3.8
196603,53.2,-1.9
196703,58.7,3.6
196803,52.0,-3.1
196903,47.6,-7.5
197003,52.7,-2.4
197103,50.0,-5.1
197203,55.1,0.0
197303,59.9,4.8
197403,60.1,5.0
197503,53.7,-1.4
197603,58.2,3.1
197703,57.5,2.4
197803,51.2,-3.9
197903,55.8,0.7
198003,52.6,-2.5
198103,52.2,-2.9
198203,58.5,3.4
198303,52.0,-3.1
198403,53.7,-1.4
198503,58.7,3.6
198603,55.4,0.3
198703,55.7,0.6
198803,54.3,-0.8
198903,57.3,2.2
199003,58.1,3.0
199103,56.9,1.8
199203,54.9,-0.2
199303,51.7,-3.4
199403,55.7,0.6
199503,58.2,3.1
199603,50.9,-4.2
199703,61.2,6.1
199803,53.4,-1.7
199903,52.8,-2.3
200003,58.9,3.8
200103,51.4,-3.7
200203,55.0,-0.1
200303,57.6,2.5
200403,59.0,3.9
200503,53.5,-1.6
200603,56.1,1.0
200703,60.0,4.9
200803,55.2,0.1
200903,57.3,2.2
201003,51.2,-3.9
201103,57.8,2.7
201203,64.6,9.5
201303,49.8,-5.3
201403,52.3,-2.8
201503,57.8,2.7
201603,59.7,4.6
201703,58.4,3.3
201803,55.4,0.3
201903,55.0,-0.1
202003,63.5,8.4
202103,59.6,4.5
