Mississippi, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,72.9,-2.2
195109,76.1,1.0
195209,73.1,-2.0
195309,74.7,-0.4
195409,78.1,3.0
195509,77.4,2.3
195609,73.3,-1.8
195709,73.1,-2.0
195809,75.9,0.8
195909,75.4,0.3
196009,75.2,0.1
196109,74.6,-0.5
196209,75.6,0.5
196309,74.0,-1.1
196409,75.0,-0.1
196509,75.4,0.3
196609,73.3,-1.8
196709,69.8,-5.3
196809,71.5,-3.6
196909,73.0,-2.1
197009,77.9,2.8
197109,75.7,0.6
197209,78.5,3.4
197309,76.3,1.2
197409,70.4,-4.7
197509,70.8,-4.3
197609,73.0,-2.1
197709,77.1,2.0
197809,76.8,1.7
197909,72.8,-2.3
198009,79.0,3.9
198109,72.0,-3.1
198209,72.6,-2.5
198309,72.9,-2.2
198409,72.9,-2.2
198509,73.5,-1.6
198609,77.6,2.5
198709,74.1,-1.0
198809,75.5,0.4
198909,72.7,-2.4
199009,77.0,1.9
199109,74.4,-0.7
199209,73.6,-1.5
199309,74.3,-0.8
199409,72.8,-2.3
199509,74.0,-1.1
199609,72.9,-2.2
199709,75.6,0.5
199809,78.8,3.7
199909,73.7,-1.4
200009,75.4,0.3
200109,73.0,-2.1
200209,77.6,2.5
200309,73.4,-1.7
200409,74.7,-0.4
200509,77.9,2.8
200609,73.0,-2.1
200709,76.7,1.6
200809,74.1,-1.0
200909,75.8,0.7
201009,77.0,1.9
201109,72.5,-2.6
201209,74.4,-0.7
201309,77.0,1.9
201409,76.5,1.4
201509,76.3,1.2
201609,79.0,3.9
201709,74.5,-0.6
201809,78.9,3.8
201909,81.2,6.1
202009,75.3,0.2
202109,74.9,-0.2
