Pennsylvania, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,27.4,0.9
195102,28.9,2.4
195202,30.6,4.1
195302,31.8,5.3
195402,33.6,7.1
195502,27.3,0.8
195602,29.8,3.3
195702,31.4,4.9
195802,20.4,-6.1
195902,27.0,0.5
196002,28.6,2.1
196102,28.9,2.4
196202,25.4,-1.1
196302,18.4,-8.1
196402,23.6,-2.9
196502,26.2,-0.3
196602,26.5,0.0
196702,22.6,-3.9
196802,22.3,-4.2
196902,26.7,0.2
197002,25.2,-1.3
197102,27.4,0.9
197202,23.2,-3.3
197302,25.5,-1.0
197402,26.2,-0.3
197502,28.8,2.3
197602,33.5,7.0
197702,26.1,-0.4
197802,17.2,-9.3
197902,16.4,-10.1
198002,23.0,-3.5
198102,30.7,4.2
198202,26.9,0.4
198302,29.8,3.3
198402,33.8,7.3
198502,27.1,0.6
198602,26.7,0.2
198702,26.8,0.3
198802,26.8,0.3
198902,27.1,0.6
199002,33.9,7.4
199102,32.4,5.9
199202,30.9,4.4
199302,23.5,-3.0
199402,24.1,-2.4
199502,23.9,-2.6
199602,27.0,0.5
199702,33.0,6.5
199802,35.8,9.3
199902,31.7,5.2
200002,31.6,5.1
200102,31.5,5.0
200202,33.9,7.4
200302,23.8,-2.7
200402,27.0,0.5
200502,30.1,3.6
200602,29.8,3.3
200702,20.1,-6.4
200802,27.7,1.2
200902,29.6,3.1
201002,25.8,-0.7
201102,28.6,2.1
201202,34.3,7.8
201302,27.4,0.9
201402,22.8,-3.7
201502,16.1,-10.4
201602,30.7,4.2
201702,36.6,10.1
201802,34.3,7.8
201902,30.2,3.7
202002,33.3,6.8
202102,26.5,0.0
