Nevada, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,27.0,-2.9
195101,31.2,1.3
195201,26.1,-3.8
195301,38.9,9.0
195401,32.9,3.0
195501,22.5,-7.4
195601,35.2,5.3
195701,25.0,-4.9
195801,32.3,2.4
195901,34.8,4.9
196001,26.6,-3.3
196101,32.9,3.0
196201,26.6,-3.3
196301,27.8,-2.1
196401,28.6,-1.3
196501,33.6,3.7
196601,29.3,-0.6
196701,32.6,2.7
196801,30.5,0.6
196901,34.2,4.3
197001,33.1,3.2
197101,32.8,2.9
197201,28.5,-1.4
197301,26.9,-3.0
197401,28.8,-1.1
197501,29.9,0.0
197601,32.7,2.8
197701,28.5,-1.4
197801,34.1,4.2
197901,24.8,-5.1
198001,33.6,3.7
198101,35.8,5.9
198201,28.0,-1.9
198301,33.9,4.0
198401,29.2,-0.7
198501,26.9,-3.0
198601,38.1,8.2
198701,27.8,-2.1
198801,27.8,-2.1
198901,25.8,-4.1
199001,31.9,2.0
199101,29.7,-0.2
199201,30.8,0.9
199301,26.4,-3.5
199401,34.2,4.3
199501,34.1,4.2
199601,34.2,4.3
199701,32.0,2.1
199801,35.2,5.3
199901,34.5,4.6
200001,35.0,5.1
200101,29.7,-0.2
200201,30.8,0.9
200301,40.7,10.8
200401,30.4,0.5
200501,32.4,2.5
200601,34.1,4.2
200701,27.4,-2.5
200801,27.6,-2.3
200901,34.4,4.5
201001,32.9,3.0
201101,32.9,3.0
201201,35.0,5.1
201301,26.0,-3.9
201401,37.1,7.2
201501,37.7,7.8
201601,31.1,1.2
201701,29.1,-0.8
201801,38.5,8.6
201901,34.1,4.2
202001,35.3,5.4
202101,33.7,3.8
