Colorado, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,30.5,5.3
195112,23.3,-1.9
195212,23.6,-1.6
195312,24.0,-1.2
195412,26.3,1.1
195512,29.3,4.1
195612,26.2,1.0
195712,29.7,4.5
195812,30.2,5.0
195912,29.3,4.1
196012,24.2,-1.0
196112,21.7,-3.5
196212,29.0,3.8
196312,23.6,-1.6
196412,25.1,-0.1
196512,28.7,3.5
196612,24.4,-0.8
196712,20.9,-4.3
196812,23.3,-1.9
196912,27.6,2.4
197012,27.5,2.3
197112,24.3,-0.9
197212,19.2,-6.0
197312,25.8,0.6
197412,22.9,-2.3
197512,27.8,2.6
197612,26.8,1.6
197712,29.9,4.7
197812,18.4,-6.8
197912,27.3,2.1
198012,34.8,9.6
198112,28.5,3.3
198212,26.4,1.2
198312,18.9,-6.3
198412,27.4,2.2
198512,24.2,-1.0
198612,26.3,1.1
198712,24.2,-1.0
198812,25.4,0.2
198912,23.8,-1.4
199012,20.3,-4.9
199112,25.9,0.7
199212,22.1,-3.1
199312,26.8,1.6
199412,29.5,4.3
199512,29.4,4.2
199612,27.2,2.0
199712,24.6,-0.6
199812,26.5,1.3
199912,27.9,2.7
200012,25.7,0.5
200112,26.4,1.2
200212,27.6,2.4
200312,28.6,3.4
200412,28.4,3.2
200512,26.0,0.8
200612,26.8,1.6
200712,22.4,-2.8
200812,25.3,0.1
200912,20.4,-4.8
201012,31.1,5.9
201112,24.4,-0.8
201212,25.9,0.7
201312,23.7,-1.5
201412,27.9,2.7
201512,25.8,0.6
201612,25.2,0.0
201712,30.1,4.9
201812,26.6,1.4
201912,28.1,2.9
202012,26.7,1.5
202112,32.3,7.1
