Kansas, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,37.2,3.6
195102,35.6,2.0
195202,38.2,4.6
195302,38.4,4.8
195402,44.9,11.3
195502,29.0,-4.6
195602,31.3,-2.3
195702,37.8,4.2
195802,29.2,-4.4
195902,31.8,-1.8
196002,25.5,-8.1
196102,36.3,2.7
196202,35.5,1.9
196302,36.0,2.4
196402,32.4,-1.2
196502,31.0,-2.6
196602,30.5,-3.1
196702,34.7,1.1
196802,32.6,-1.0
196902,33.6,0.0
197002,37.5,3.9
197102,29.5,-4.1
197202,34.5,0.9
197302,34.6,1.0
197402,37.8,4.2
197502,28.8,-4.8
197602,43.4,9.8
197702,38.7,5.1
197802,21.2,-12.4
197902,24.5,-9.1
198002,29.0,-4.6
198102,36.7,3.1
198202,28.7,-4.9
198302,35.5,1.9
198402,39.7,6.1
198502,28.2,-5.4
198602,35.5,1.9
198702,40.0,6.4
198802,32.2,-1.4
198902,24.6,-9.0
199002,36.1,2.5
199102,41.8,8.2
199202,41.7,8.1
199302,28.1,-5.5
199402,29.9,-3.7
199502,39.2,5.6
199602,36.2,2.6
199702,34.8,1.2
199802,39.6,6.0
199902,42.8,9.2
200002,41.0,7.4
200102,30.4,-3.2
200202,35.9,2.3
200302,31.3,-2.3
200402,31.8,-1.8
200502,39.2,5.6
200602,34.5,0.9
200702,30.0,-3.6
200802,32.3,-1.3
200902,39.7,6.1
201002,29.9,-3.7
201102,30.2,-3.4
201202,37.1,3.5
201302,33.6,0.0
201402,27.8,-5.8
201502,31.2,-2.4
201602,40.8,7.2
201702,43.1,9.5
201802,31.9,-1.7
201902,27.9,-5.7
202002,34.9,1.3
202102,24.0,-9.6
