California, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,56.3,2.3
195104,55.1,1.1
195204,54.4,0.4
195304,52.7,-1.3
195404,57.5,3.5
195504,49.6,-4.4
195604,53.2,-0.8
195704,54.0,0.0
195804,53.2,-0.8
195904,58.8,4.8
196004,54.8,0.8
196104,55.4,1.4
196204,58.2,4.2
196304,49.0,-5.0
196404,52.5,-1.5
196504,52.8,-1.2
196604,57.8,3.8
196704,44.9,-9.1
196804,54.0,0.0
196904,53.4,-0.6
197004,49.9,-4.1
197104,51.8,-2.2
197204,53.8,-0.2
197304,53.9,-0.1
197404,52.5,-1.5
197504,47.1,-6.9
197604,50.8,-3.2
197704,56.6,2.6
197804,51.5,-2.5
197904,53.6,-0.4
198004,54.5,0.5
198104,56.5,2.5
198204,52.1,-1.9
198304,49.8,-4.2
198404,52.9,-1.1
198504,58.2,4.2
198604,54.6,0.6
198704,59.3,5.3
198804,55.2,1.2
198904,60.0,6.0
199004,58.4,4.4
199104,52.7,-1.3
199204,58.9,4.9
199304,55.2,1.2
199404,55.9,1.9
199504,52.9,-1.1
199604,56.8,2.8
199704,55.6,1.6
199804,51.6,-2.4
199904,51.3,-2.7
200004,57.8,3.8
200104,52.0,-2.0
200204,56.0,2.0
200304,50.0,-4.0
200404,57.3,3.3
200504,53.0,-1.0
200604,53.0,-1.0
200704,56.3,2.3
200804,54.4,0.4
200904,54.3,0.3
201004,50.9,-3.1
201104,53.4,-0.6
201204,55.8,1.8
201304,58.2,4.2
201404,57.7,3.7
201504,56.7,2.7
201604,57.9,3.9
201704,55.6,1.6
201804,57.2,3.2
201904,58.2,4.2
202004,56.6,2.6
202104,58.3,4.3
