Minnesota, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,23.0,-4.9
195111,21.1,-6.8
195211,30.6,2.7
195311,33.8,5.9
195411,33.4,5.5
195511,20.3,-7.6
195611,29.3,1.4
195711,28.4,0.5
195811,29.6,1.7
195911,19.2,-8.7
196011,30.6,2.7
196111,28.7,0.8
196211,33.3,5.4
196311,33.9,6.0
196411,29.9,2.0
196511,27.6,-0.3
196611,24.6,-3.3
196711,27.6,-0.3
196811,30.0,2.1
196911,29.2,1.3
197011,27.1,-0.8
197111,28.4,0.5
197211,27.5,-0.4
197311,28.8,0.9
197411,30.2,2.3
197511,31.6,3.7
197611,22.9,-5.0
197711,26.9,-1.0
197811,25.5,-2.4
197911,27.3,-0.6
198011,31.9,4.0
198111,35.2,7.3
198211,25.4,-2.5
198311,30.5,2.6
198411,29.2,1.3
198511,18.8,-9.1
198611,23.5,-4.4
198711,33.6,5.7
198811,28.6,0.7
198911,24.0,-3.9
199011,32.2,4.3
199111,21.5,-6.4
199211,26.9,-1.0
199311,25.2,-2.7
199411,33.4,5.5
199511,21.1,-6.8
199611,20.3,-7.6
199711,24.9,-3.0
199811,31.9,4.0
199911,37.6,9.7
200011,28.4,0.5
200111,40.7,12.8
200211,27.8,-0.1
200311,26.6,-1.3
200411,34.0,6.1
200511,32.2,4.3
200611,32.0,4.1
200711,30.4,2.5
200811,30.8,2.9
200911,37.8,9.9
201011,30.7,2.8
201111,32.9,5.0
201211,30.9,3.0
201311,27.6,-0.3
201411,21.4,-6.5
201511,36.5,8.6
201611,40.2,12.3
201711,27.4,-0.5
201811,22.8,-5.1
201911,26.0,-1.9
202011,33.9,6.0
202111,32.1,4.2
