Nebraska, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,54.8,4.0
195110,48.6,-2.2
195210,48.8,-2.0
195310,55.2,4.4
195410,49.1,-1.7
195510,52.3,1.5
195610,56.1,5.3
195710,48.9,-1.9
195810,52.5,1.7
195910,46.6,-4.2
196010,52.3,1.5
196110,51.0,0.2
196210,53.0,2.2
196310,59.4,8.6
196410,51.0,0.2
196510,53.7,2.9
196610,50.7,-0.1
196710,50.8,0.0
196810,52.3,1.5
196910,44.0,-6.8
197010,46.7,-4.1
197110,51.7,0.9
197210,47.8,-3.0
197310,53.3,2.5
197410,53.4,2.6
197510,52.9,2.1
197610,46.0,-4.8
197710,51.0,0.2
197810,50.8,0.0
197910,52.0,1.2
198010,49.6,-1.2
198110,49.1,-1.7
198210,49.9,-0.9
198310,51.6,0.8
198410,48.8,-2.0
198510,49.4,-1.4
198610,50.4,-0.4
198710,47.5,-3.3
198810,48.9,-1.9
198910,51.4,0.6
199010,50.8,0.0
199110,49.5,-1.3
199210,50.8,0.0
199310,48.9,-1.9
199410,52.2,1.4
199510,49.6,-1.2
199610,50.8,0.0
199710,51.6,0.8
199810,51.7,0.9
199910,51.2,0.4
200010,52.7,1.9
200110,51.0,0.2
200210,44.4,-6.4
200310,54.6,3.8
200410,52.3,1.5
200510,51.9,1.1
200610,48.0,-2.8
200710,53.6,2.8
200810,50.2,-0.6
200910,42.3,-8.5
201010,54.0,3.2
201110,52.7,1.9
201210,48.2,-2.6
201310,48.8,-2.0
201410,53.2,2.4
201510,54.3,3.5
201610,55.4,4.6
201710,51.0,0.2
201810,47.2,-3.6
201910,44.2,-6.6
202010,46.4,-4.4
202110,53.2,2.4
