Mississippi, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,42.1,-4.7
195112,50.9,4.1
195212,46.4,-0.4
195312,44.3,-2.5
195412,46.2,-0.6
195512,46.9,0.1
195612,54.1,7.3
195712,49.4,2.6
195812,42.6,-4.2
195912,47.2,0.4
196012,42.6,-4.2
196112,46.9,0.1
196212,44.1,-2.7
196312,37.0,-9.8
196412,48.0,1.2
196512,48.0,1.2
196612,46.0,-0.8
196712,49.7,2.9
196812,43.8,-3.0
196912,44.9,-1.9
197012,50.2,3.4
197112,54.7,7.9
197212,46.7,-0.1
197312,46.0,-0.8
197412,47.2,0.4
197512,45.6,-1.2
197612,42.8,-4.0
197712,45.7,-1.1
197812,46.7,-0.1
197912,45.5,-1.3
198012,45.5,-1.3
198112,44.1,-2.7
198212,52.4,5.6
198312,40.4,-6.4
198412,56.1,9.3
198512,41.9,-4.9
198612,45.5,-1.3
198712,50.2,3.4
198812,47.1,0.3
198912,37.9,-8.9
199012,50.2,3.4
199112,50.7,3.9
199212,47.9,1.1
199312,46.1,-0.7
199412,49.6,2.8
199512,45.7,-1.1
199612,50.1,3.3
199712,44.9,-1.9
199812,50.1,3.3
199912,47.6,0.8
200012,38.4,-8.4
200112,50.8,4.0
200212,46.6,-0.2
200312,44.9,-1.9
200412,45.5,-1.3
200512,44.2,-2.6
200612,49.0,2.2
200712,51.9,5.1
200812,48.3,1.5
200912,44.3,-2.5
201012,42.3,-4.5
201112,48.0,1.2
201212,51.6,4.8
201312,46.7,-0.1
201412,50.2,3.4
201512,56.7,9.9
201612,49.4,2.6
201712,47.1,0.3
201812,49.0,2.2
201912,50.7,3.9
202012,47.0,0.2
202112,58.8,12.0
