New York, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,29.2,9.4
195101,23.5,3.7
195201,23.4,3.6
195301,26.2,6.4
195401,17.2,-2.6
195501,17.8,-2.0
195601,20.2,0.4
195701,14.5,-5.3
195801,20.2,0.4
195901,18.0,-1.8
196001,20.9,1.1
196101,13.9,-5.9
196201,19.1,-0.7
196301,17.1,-2.7
196401,22.6,2.8
196501,16.8,-3.0
196601,17.6,-2.2
196701,26.1,6.3
196801,14.1,-5.7
196901,19.6,-0.2
197001,10.8,-9.0
197101,14.4,-5.4
197201,22.0,2.2
197301,23.9,4.1
197401,22.5,2.7
197501,24.4,4.6
197601,13.8,-6.0
197701,11.0,-8.8
197801,16.9,-2.9
197901,19.0,-0.8
198001,21.6,1.8
198101,11.9,-7.9
198201,12.0,-7.8
198301,22.2,2.4
198401,16.7,-3.1
198501,16.1,-3.7
198601,21.2,1.4
198701,20.3,0.5
198801,19.2,-0.6
198901,25.6,5.8
199001,30.3,10.5
199101,21.0,1.2
199201,22.2,2.4
199301,24.3,4.5
199401,10.6,-9.2
199501,27.2,7.4
199601,18.9,-0.9
199701,20.0,0.2
199801,27.5,7.7
199901,20.7,0.9
200001,19.2,-0.6
200101,22.4,2.6
200201,29.1,9.3
200301,14.6,-5.2
200401,12.8,-7.0
200501,18.6,-1.2
200601,30.1,10.3
200701,25.2,5.4
200801,25.9,6.1
200901,15.0,-4.8
201001,21.8,2.0
201101,18.6,-1.2
201201,26.0,6.2
201301,24.3,4.5
201401,16.9,-2.9
201501,16.2,-3.6
201601,23.7,3.9
201701,27.9,8.1
201801,19.1,-0.7
201901,19.4,-0.4
202001,27.7,7.9
202101,24.0,4.2
