Nebraska, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,60.8,-2.0
195109,58.2,-4.6
195209,65.5,2.7
195309,65.0,2.2
195409,66.4,3.6
195509,65.1,2.3
195609,64.4,1.6
195709,59.8,-3.0
195809,64.5,1.7
195909,61.1,-1.7
196009,64.4,1.6
196109,58.4,-4.4
196209,60.4,-2.4
196309,65.9,3.1
196409,61.9,-0.9
196509,54.2,-8.6
196609,61.7,-1.1
196709,61.5,-1.3
196809,61.5,-1.3
196909,65.4,2.6
197009,61.8,-1.0
197109,61.3,-1.5
197209,62.2,-0.6
197309,59.5,-3.3
197409,58.9,-3.9
197509,59.9,-2.9
197609,63.2,0.4
197709,64.4,1.6
197809,66.6,3.8
197909,65.9,3.1
198009,64.8,2.0
198109,63.9,1.1
198209,61.9,-0.9
198309,65.0,2.2
198409,59.7,-3.1
198509,60.0,-2.8
198609,62.5,-0.3
198709,61.8,-1.0
198809,62.9,0.1
198909,61.0,-1.8
199009,67.0,4.2
199109,63.7,0.9
199209,62.5,-0.3
199309,57.7,-5.1
199409,64.5,1.7
199509,61.3,-1.5
199609,60.3,-2.5
199709,64.9,2.1
199809,69.1,6.3
199909,60.3,-2.5
200009,64.5,1.7
200109,63.6,0.8
200209,64.3,1.5
200309,61.1,-1.7
200409,66.2,3.4
200509,67.5,4.7
200609,58.8,-4.0
200709,64.7,1.9
200809,62.2,-0.6
200909,61.8,-1.0
201009,63.6,0.8
201109,60.6,-2.2
201209,64.1,1.3
201309,68.0,5.2
201409,62.9,0.1
201509,68.6,5.8
201609,65.0,2.2
201709,65.0,2.2
201809,65.7,2.9
201909,68.3,5.5
202009,62.7,-0.1
202109,67.6,4.8
