Connecticut, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,43.4,-2.6
195104,48.0,2.0
195204,49.4,3.4
195304,47.2,1.2
195404,48.0,2.0
195504,48.6,2.6
195604,42.4,-3.6
195704,48.6,2.6
195804,47.1,1.1
195904,48.2,2.2
196004,49.1,3.1
196104,44.1,-1.9
196204,47.0,1.0
196304,46.3,0.3
196404,45.2,-0.8
196504,44.0,-2.0
196604,43.1,-2.9
196704,44.2,-1.8
196804,49.6,3.6
196904,48.6,2.6
197004,45.7,-0.3
197104,43.8,-2.2
197204,42.1,-3.9
197304,48.2,2.2
197404,48.7,2.7
197504,42.4,-3.6
197604,50.0,4.0
197704,47.8,1.8
197804,44.9,-1.1
197904,46.0,0.0
198004,47.8,1.8
198104,49.2,3.2
198204,44.1,-1.9
198304,46.9,0.9
198404,46.1,0.1
198504,49.0,3.0
198604,48.9,2.9
198704,48.2,2.2
198804,45.6,-0.4
198904,44.9,-1.1
199004,47.2,1.2
199104,50.6,4.6
199204,44.3,-1.7
199304,47.4,1.4
199404,48.9,2.9
199504,45.3,-0.7
199604,46.5,0.5
199704,45.2,-0.8
199804,48.6,2.6
199904,47.9,1.9
200004,46.1,0.1
200104,47.9,1.9
200204,50.1,4.1
200304,44.5,-1.5
200404,48.0,2.0
200504,49.3,3.3
200604,49.0,3.0
200704,44.8,-1.2
200804,49.6,3.6
200904,49.3,3.3
201004,52.0,6.0
201104,48.9,2.9
201204,49.7,3.7
201304,47.3,1.3
201404,46.7,0.7
201504,47.0,1.0
201604,46.8,0.8
201704,51.8,5.8
201804,43.4,-2.6
201904,49.1,3.1
202004,44.4,-1.6
202104,48.8,2.8
