Rhode Island, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,53.7,-2.4
195105,56.8,0.7
195205,55.2,-0.9
195305,57.4,1.3
195405,54.4,-1.7
195505,58.7,2.6
195605,52.2,-3.9
195705,57.3,1.2
195805,53.6,-2.5
195905,59.1,3.0
196005,57.2,1.1
196105,53.9,-2.2
196205,55.2,-0.9
196305,55.4,-0.7
196405,58.6,2.5
196505,58.6,2.5
196605,53.8,-2.3
196705,50.0,-6.1
196805,54.8,-1.3
196905,56.0,-0.1
197005,57.1,1.0
197105,55.0,-1.1
197205,56.2,0.1
197305,55.3,-0.8
197405,54.2,-1.9
197505,59.6,3.5
197605,56.0,-0.1
197705,58.7,2.6
197805,56.0,-0.1
197905,59.4,3.3
198005,58.2,2.1
198105,57.5,1.4
198205,57.3,1.2
198305,54.4,-1.7
198405,55.7,-0.4
198505,57.7,1.6
198605,57.7,1.6
198705,57.2,1.1
198805,56.6,0.5
198905,57.6,1.5
199005,54.2,-1.9
199105,61.9,5.8
199205,55.7,-0.4
199305,59.0,2.9
199405,55.0,-1.1
199505,55.4,-0.7
199605,56.0,-0.1
199705,54.0,-2.1
199805,59.8,3.7
199905,58.4,2.3
200005,57.2,1.1
200105,58.9,2.8
200205,55.3,-0.8
200305,54.0,-2.1
200405,58.7,2.6
200505,52.1,-4.0
200605,57.0,0.9
200705,59.0,2.9
200805,55.4,-0.7
200905,57.7,1.6
201005,60.9,4.8
201105,58.9,2.8
201205,60.6,4.5
201305,58.5,2.4
201405,58.0,1.9
201505,61.2,5.1
201605,57.9,1.8
201705,56.5,0.4
201805,61.4,5.3
201905,56.4,0.3
202005,56.6,0.5
202105,58.2,2.1
