Utah, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,39.2,3.2
195111,32.9,-3.1
195211,31.5,-4.5
195311,39.5,3.5
195411,39.9,3.9
195511,33.9,-2.1
195611,31.5,-4.5
195711,31.5,-4.5
195811,35.9,-0.1
195911,36.2,0.2
196011,37.8,1.8
196111,33.0,-3.0
196211,40.2,4.2
196311,38.1,2.1
196411,32.5,-3.5
196511,41.3,5.3
196611,39.9,3.9
196711,39.7,3.7
196811,35.6,-0.4
196911,35.6,-0.4
197011,37.9,1.9
197111,33.1,-2.9
197211,33.5,-2.5
197311,36.3,0.3
197411,37.1,1.1
197511,33.9,-2.1
197611,37.8,1.8
197711,38.4,2.4
197811,34.7,-1.3
197911,30.8,-5.2
198011,37.7,1.7
198111,39.8,3.8
198211,33.7,-2.3
198311,36.6,0.6
198411,36.0,0.0
198511,33.8,-2.2
198611,37.5,1.5
198711,36.2,0.2
198811,36.7,0.7
198911,38.6,2.6
199011,36.9,0.9
199111,35.3,-0.7
199211,31.9,-4.1
199311,32.1,-3.9
199411,30.6,-5.4
199511,41.9,5.9
199611,37.6,1.6
199711,37.3,1.3
199811,38.0,2.0
199911,42.4,6.4
200011,29.8,-6.2
200111,39.3,3.3
200211,35.9,-0.1
200311,34.1,-1.9
200411,35.7,-0.3
200511,39.0,3.0
200611,38.2,2.2
200711,40.6,4.6
200811,40.9,4.9
200911,39.0,3.0
201011,34.8,-1.2
201111,36.0,0.0
201211,41.2,5.2
201311,38.0,2.0
201411,37.7,1.7
201511,34.5,-1.5
201611,41.6,5.6
201711,43.0,7.0
201811,35.0,-1.0
201911,38.5,2.5
202011,38.8,2.8
202111,42.6,6.6
