Maryland, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,44.1,11.7
195101,35.7,3.3
195201,37.3,4.9
195301,38.1,5.7
195401,32.9,0.5
195501,31.4,-1.0
195601,31.1,-1.3
195701,29.8,-2.6
195801,30.6,-1.8
195901,31.1,-1.3
196001,34.8,2.4
196101,26.6,-5.8
196201,31.9,-0.5
196301,28.9,-3.5
196401,33.5,1.1
196501,30.7,-1.7
196601,29.0,-3.4
196701,37.3,4.9
196801,27.7,-4.7
196901,30.1,-2.3
197001,25.8,-6.6
197101,28.0,-4.4
197201,35.3,2.9
197301,34.2,1.8
197401,38.2,5.8
197501,36.5,4.1
197601,29.4,-3.0
197701,21.1,-11.3
197801,27.4,-5.0
197901,30.8,-1.6
198001,32.3,-0.1
198101,26.6,-5.8
198201,25.4,-7.0
198301,33.5,1.1
198401,27.8,-4.6
198501,27.9,-4.5
198601,32.4,0.0
198701,31.3,-1.1
198801,27.8,-4.6
198901,37.0,4.6
199001,40.6,8.2
199101,34.6,2.2
199201,35.2,2.8
199301,36.9,4.5
199401,26.0,-6.4
199501,36.6,4.2
199601,30.6,-1.8
199701,33.3,0.9
199801,40.3,7.9
199901,36.1,3.7
200001,32.5,0.1
200101,32.2,-0.2
200201,39.0,6.6
200301,28.6,-3.8
200401,28.1,-4.3
200501,33.9,1.5
200601,41.1,8.7
200701,38.5,6.1
200801,35.7,3.3
200901,29.3,-3.1
201001,32.2,-0.2
201101,29.6,-2.8
201201,37.4,5.0
201301,36.3,3.9
201401,27.8,-4.6
201501,30.7,-1.7
201601,32.1,-0.3
201701,38.3,5.9
201801,31.0,-1.4
201901,34.0,1.6
202001,39.1,6.7
202101,35.4,3.0
