Illinois, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,34.6,-6.2
195111,33.6,-7.2
195211,42.2,1.4
195311,42.7,1.9
195411,41.6,0.8
195511,36.6,-4.2
195611,40.4,-0.4
195711,39.7,-1.1
195811,43.7,2.9
195911,33.9,-6.9
196011,42.0,1.2
196111,40.9,0.1
196211,41.0,0.2
196311,44.4,3.6
196411,44.6,3.8
196511,43.9,3.1
196611,43.0,2.2
196711,37.6,-3.2
196811,40.4,-0.4
196911,38.4,-2.4
197011,39.9,-0.9
197111,42.1,1.3
197211,37.5,-3.3
197311,43.4,2.6
197411,41.4,0.6
197511,45.9,5.1
197611,33.4,-7.4
197711,41.8,1.0
197811,43.3,2.5
197911,40.4,-0.4
198011,41.3,0.5
198111,44.0,3.2
198211,42.1,1.3
198311,44.4,3.6
198411,41.0,0.2
198511,41.6,0.8
198611,37.8,-3.0
198711,45.7,4.9
198811,42.4,1.6
198911,40.7,-0.1
199011,46.8,6.0
199111,37.3,-3.5
199211,40.6,-0.2
199311,39.6,-1.2
199411,46.2,5.4
199511,35.6,-5.2
199611,34.9,-5.9
199711,38.6,-2.2
199811,45.6,4.8
199911,48.4,7.6
200011,38.9,-1.9
200111,49.9,9.1
200211,39.6,-1.2
200311,44.8,4.0
200411,45.6,4.8
200511,44.5,3.7
200611,44.4,3.6
200711,42.2,1.4
200811,41.1,0.3
200911,47.2,6.4
201011,43.7,2.9
201111,45.8,5.0
201211,41.2,0.4
201311,38.8,-2.0
201411,34.6,-6.2
201511,46.6,5.8
201611,48.1,7.3
201711,41.9,1.1
201811,35.6,-5.2
201911,36.2,-4.6
202011,47.1,6.3
202111,40.9,0.1
