Massachusetts, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,66.9,-0.6
195108,66.8,-0.7
195208,68.3,0.8
195308,67.3,-0.2
195408,65.3,-2.2
195508,71.1,3.6
195608,67.4,-0.1
195708,65.1,-2.4
195808,67.6,0.1
195908,70.4,2.9
196008,67.7,0.2
196108,68.0,0.5
196208,66.3,-1.2
196308,65.8,-1.7
196408,63.1,-4.4
196508,68.0,0.5
196608,68.1,0.6
196708,67.8,0.3
196808,67.0,-0.5
196908,70.2,2.7
197008,69.4,1.9
197108,68.4,0.9
197208,66.9,-0.6
197308,71.5,4.0
197408,68.7,1.2
197508,68.3,0.8
197608,67.2,-0.3
197708,68.6,1.1
197808,68.8,1.3
197908,67.8,0.3
198008,70.1,2.6
198108,67.5,0.0
198208,65.4,-2.1
198308,69.5,2.0
198408,70.6,3.1
198508,67.4,-0.1
198608,66.0,-1.5
198708,66.4,-1.1
198808,71.6,4.1
198908,68.2,0.7
199008,70.0,2.5
199108,70.0,2.5
199208,66.4,-1.1
199308,69.9,2.4
199408,67.2,-0.3
199508,68.9,1.4
199608,69.0,1.5
199708,67.6,0.1
199808,70.2,2.7
199908,68.5,1.0
200008,67.0,-0.5
200108,71.7,4.2
200208,71.4,3.9
200308,71.5,4.0
200408,69.0,1.5
200508,72.1,4.6
200608,68.3,0.8
200708,69.4,1.9
200808,67.2,-0.3
200908,71.0,3.5
201008,70.1,2.6
201108,69.8,2.3
201208,71.5,4.0
201308,68.0,0.5
201408,67.2,-0.3
201508,71.1,3.6
201608,72.5,5.0
201708,68.0,0.5
201808,73.5,6.0
201908,69.8,2.3
202008,71.7,4.2
202108,72.6,5.1
