Illinois, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,69.2,-4.2
195108,71.9,-1.5
195208,72.6,-0.8
195308,74.4,1.0
195408,74.4,1.0
195508,76.6,3.2
195608,74.0,0.6
195708,73.9,0.5
195808,73.6,0.2
195908,77.0,3.6
196008,74.5,1.1
196108,72.8,-0.6
196208,73.1,-0.3
196308,71.2,-2.2
196408,72.3,-1.1
196508,71.7,-1.7
196608,70.8,-2.6
196708,68.2,-5.2
196808,74.0,0.6
196908,73.0,-0.4
197008,73.3,-0.1
197108,71.6,-1.8
197208,72.9,-0.5
197308,74.2,0.8
197408,71.6,-1.8
197508,74.6,1.2
197608,70.5,-2.9
197708,71.8,-1.6
197808,73.0,-0.4
197908,72.6,-0.8
198008,77.2,3.8
198108,72.0,-1.4
198208,71.0,-2.4
198308,78.9,5.5
198408,74.7,1.3
198508,70.5,-2.9
198608,69.6,-3.8
198708,74.3,0.9
198808,78.0,4.6
198908,72.8,-0.6
199008,72.4,-1.0
199108,74.7,1.3
199208,68.4,-5.0
199308,74.9,1.5
199408,70.6,-2.8
199508,78.8,5.4
199608,73.5,0.1
199708,71.0,-2.4
199808,74.8,1.4
199908,71.7,-1.7
200008,74.6,1.2
200108,74.6,1.2
200208,75.0,1.6
200308,75.3,1.9
200408,68.6,-4.8
200508,75.6,2.2
200608,74.7,1.3
200708,78.2,4.8
200808,71.8,-1.6
200908,70.9,-2.5
201008,76.8,3.4
201108,74.8,1.4
201208,73.6,0.2
201308,72.8,-0.6
201408,73.8,0.4
201508,71.9,-1.5
201608,75.7,2.3
201708,70.5,-2.9
201808,74.7,1.3
201908,72.8,-0.6
202008,72.8,-0.6
202108,75.5,2.1
