Maine, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,64.8,-0.5
195107,65.1,-0.2
195207,70.0,4.7
195307,65.4,0.1
195407,63.0,-2.3
195507,68.0,2.7
195607,61.9,-3.4
195707,63.5,-1.8
195807,63.8,-1.5
195907,68.4,3.1
196007,64.2,-1.1
196107,64.5,-0.8
196207,60.7,-4.6
196307,67.5,2.2
196407,65.7,0.4
196507,62.2,-3.1
196607,64.4,-0.9
196707,66.8,1.5
196807,66.4,1.1
196907,63.3,-2.0
197007,67.6,2.3
197107,65.4,0.1
197207,65.1,-0.2
197307,68.0,2.7
197407,64.5,-0.8
197507,68.3,3.0
197607,64.0,-1.3
197707,65.0,-0.3
197807,65.4,0.1
197907,67.4,2.1
198007,65.1,-0.2
198107,65.9,0.6
198207,65.5,0.2
198307,66.2,0.9
198407,66.4,1.1
198507,66.2,0.9
198607,62.9,-2.4
198707,65.3,0.0
198807,67.6,2.3
198907,65.0,-0.3
199007,66.2,0.9
199107,65.5,0.2
199207,61.2,-4.1
199307,65.4,0.1
199407,68.6,3.3
199507,68.0,2.7
199607,64.3,-1.0
199707,65.6,0.3
199807,66.1,0.8
199907,67.8,2.5
200007,63.0,-2.3
200107,64.2,-1.1
200207,65.6,0.3
200307,65.9,0.6
200407,64.6,-0.7
200507,66.6,1.3
200607,68.9,3.6
200707,64.6,-0.7
200807,67.7,2.4
200907,63.0,-2.3
201007,69.2,3.9
201107,67.6,2.3
201207,67.6,2.3
201307,68.3,3.0
201407,67.2,1.9
201507,64.8,-0.5
201607,67.0,1.7
201707,65.2,-0.1
201807,68.8,3.5
201907,68.3,3.0
202007,68.9,3.6
202107,63.7,-1.6
