Pennsylvania, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,52.9,2.3
195110,53.0,2.4
195210,46.4,-4.2
195310,52.4,1.8
195410,53.7,3.1
195510,52.2,1.6
195610,52.1,1.5
195710,47.9,-2.7
195810,49.7,-0.9
195910,52.8,2.2
196010,49.7,-0.9
196110,52.8,2.2
196210,51.2,0.6
196310,54.9,4.3
196410,47.5,-3.1
196510,48.0,-2.6
196610,47.9,-2.7
196710,49.4,-1.2
196810,51.9,1.3
196910,49.6,-1.0
197010,53.4,2.8
197110,56.4,5.8
197210,46.0,-4.6
197310,53.0,2.4
197410,47.2,-3.4
197510,53.3,2.7
197610,45.6,-5.0
197710,48.5,-2.1
197810,48.4,-2.2
197910,49.6,-1.0
198010,47.4,-3.2
198110,47.3,-3.3
198210,51.2,0.6
198310,51.1,0.5
198410,55.7,5.1
198510,52.1,1.5
198610,51.7,1.1
198710,46.0,-4.6
198810,45.6,-5.0
198910,51.5,0.9
199010,53.5,2.9
199110,51.9,1.3
199210,47.0,-3.6
199310,48.5,-2.1
199410,49.3,-1.3
199510,53.8,3.2
199610,50.5,-0.1
199710,50.5,-0.1
199810,51.8,1.2
199910,49.3,-1.3
200010,52.0,1.4
200110,51.7,1.1
200210,49.4,-1.2
200310,48.5,-2.1
200410,50.6,0.0
200510,52.5,1.9
200610,49.1,-1.5
200710,57.8,7.2
200810,48.9,-1.7
200910,48.6,-2.0
201010,51.4,0.8
201110,50.8,0.2
201210,52.2,1.6
201310,53.4,2.8
201410,53.0,2.4
201510,50.7,0.1
201610,53.6,3.0
201710,56.2,5.6
201810,52.3,1.7
201910,53.7,3.1
202010,52.2,1.6
202110,57.7,7.1
