South Dakota, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,51.9,-4.1
195105,56.6,0.6
195205,56.4,0.4
195305,53.5,-2.5
195405,52.6,-3.4
195505,60.8,4.8
195605,56.8,0.8
195705,54.1,-1.9
195805,60.3,4.3
195905,55.0,-1.0
196005,55.8,-0.2
196105,53.9,-2.1
196205,58.1,2.1
196305,56.4,0.4
196405,59.1,3.1
196505,56.6,0.6
196605,55.4,-0.6
196705,51.2,-4.8
196805,51.7,-4.3
196905,58.7,2.7
197005,57.6,1.6
197105,54.2,-1.8
197205,57.3,1.3
197305,55.3,-0.7
197405,54.3,-1.7
197505,56.7,0.7
197605,56.4,0.4
197705,63.4,7.4
197805,56.9,0.9
197905,53.0,-3.0
198005,59.3,3.3
198105,55.4,-0.6
198205,56.3,0.3
198305,52.4,-3.6
198405,54.5,-1.5
198505,61.6,5.6
198605,56.5,0.5
198705,61.6,5.6
198805,61.2,5.2
198905,56.7,0.7
199005,54.2,-1.8
199105,58.1,2.1
199205,59.0,3.0
199305,56.1,0.1
199405,60.3,4.3
199505,52.5,-3.5
199605,52.2,-3.8
199705,53.1,-2.9
199805,59.3,3.3
199905,55.9,-0.1
200005,58.1,2.1
200105,57.8,1.8
200205,52.4,-3.6
200305,55.0,-1.0
200405,55.6,-0.4
200505,54.0,-2.0
200605,58.2,2.2
200705,60.0,4.0
200805,53.0,-3.0
200905,55.8,-0.2
201005,54.2,-1.8
201105,53.0,-3.0
201205,58.3,2.3
201305,55.9,-0.1
201405,55.6,-0.4
201505,53.8,-2.2
201605,56.7,0.7
201705,56.0,0.0
201805,62.1,6.1
201905,50.4,-5.6
202005,54.2,-1.8
202105,54.9,-1.1
